STRONG,OBJ,UID,Condition_GP,V,WEAK,STRUG_START,two_level_prosody,IID,PP1,XY,Condition_Q,QI,SID,REC_CLEAN,REC,Reading,STRUG,prosody,FIRST
OBJ,YES,1-1-1,FALSE,NO,NONE,,OBJ,1,NO,X,FALSE,NO,1,1EDN,1.1EDN_X,1,NO,OBJ ,1X
OBJ,YES,1-1-2,FALSE,YES,V,,OBJ > PP1,1,YES,Y,FALSE,NO,1,1EDN,1.1EDN_Y,2,NO,OBJ > V PP1,1X
PP1,NO,1-10-1,FALSE,NO,NONE,,PP1,10,YES,X,TRUE,YES,1,10EQN,1.10EQN_X,1,NO,PP1 ,1X
PP1,NO,1-10-2,FALSE,NO,NONE,,PP1,10,YES,Y,TRUE,NO,1,10EQN,1.10EQN_Y,2,NO,PP1 ,1X
OBJ,YES,1-11-1,TRUE,NO,PP1,,OBJ > PP1,11,YES,X,FALSE,NO,1,11EDY,1.11EDY_X,1,NO,OBJ > PP1,1X
NONE,YES,1-11-2,TRUE,NO,NONE,,OBJ PP1,11,YES,Y,FALSE,NO,1,11EDY,1.11EDY_Y,2,YES,OBJ PP1,1X
NONE,YES,1-12-1,FALSE,NO,NONE,,OBJ PP1,12,YES,X,FALSE,NO,1,12EDN,1.12EDN_X,1,NO,OBJ PP1,1X
PP1,YES,1-12-2,FALSE,NO,OBJ,,PP1 > OBJ,12,YES,Y,FALSE,NO,1,12EDN,1.12EDN_Y,2,NO,PP1 > OBJ,1X
OBJ,YES,1-13-1,TRUE,NO,PP1,PP2,OBJ > PP1,13,YES,X,FALSE,NO,1,13EDY,1.13EDY_X,1,YES,OBJ > PP1,1X
PP1,YES,1-13-2,TRUE,YES,V,,PP1 > OBJ,13,YES,Y,FALSE,NO,1,13EDY,1.13EDY_Y,2,NO,PP1 > V OBJ,1X
OBJ,YES,1-14-1,TRUE,NO,PP1,,OBJ > PP1,14,YES,X,TRUE,NO,1,14EQY,1.14EQY_X,1,NO,OBJ > PP1,1X
PP1,YES,1-14-2,TRUE,NO,OBJ,,PP1 > OBJ,14,YES,Y,TRUE,NO,1,14EQY,1.14EQY_Y,2,NO,PP1 > OBJ,1X
PP1,YES,1-15-1,FALSE,NO,OBJ,,PP1 > OBJ,15,YES,X,FALSE,NO,1,15EDN,1.15EDN_X,1,NO,PP1 > OBJ,1X
OBJ,YES,1-15-2,FALSE,NO,PP1,,OBJ > PP1,15,YES,Y,FALSE,NO,1,15EDN,1.15EDN_Y,2,NO,OBJ > PP1,1X
PP1,YES,1-16-1,TRUE,NO,OBJ,,PP1 > OBJ,16,YES,X,TRUE,YES,1,16EQY,1.16EQY_X,1,NO,PP1 > OBJ,1X
