filename,participant,GP_condition,Q_condition,item,inter_reading,is_filler
1.10EQN,1,False,True,10,2100,False
1.11EDY,1,True,False,11,2500,False
1.12EDN,1,False,False,12,2100,False
1.13EDY,1,True,False,13,2900,False
1.14EQY,1,True,True,14,2100,False
1.15EDN,1,False,False,15,2300,False
1.16EQY,1,True,True,16,1350,False
1.17FDY,1,True,False,17,1900,True
1.18FDY,1,True,False,18,1200,True
1.19FDY,1,True,False,19,2600,True
1.1EDN,1,False,False,1,1800,False
1.20FDY,1,True,False,20,2900,True
1.21FDY,1,True,False,21,1750,True
1.22FDY,1,True,False,22,2500,True
1.23FDY,1,True,False,23,850,True
1.24FDY,1,True,False,24,3900,True
1.25FQY,1,True,True,25,1300,True
1.26FDY,1,True,False,26,2650,True
1.27FDY,1,True,False,27,4250,True
1.28FDY,1,True,False,28,1050,True
1.29FDY,1,True,False,29,4100,True
1.2EQN,1,False,True,2,2850,False
1.30FQY,1,True,True,30,3000,True
1.31FQY,1,True,True,31,2050,True
1.32FQY,1,True,True,32,4550,True
1.33FQN,1,False,True,33,2050,True
1.34FDN,1,False,False,34,2050,True
1.35FQN,1,False,True,35,3800,True
1.36FDN,1,False,False,36,950,True
1.37FQN,1,False,True,37,1200,True
1.38FQN,1,False,True,38,950,True
1.39FQN,1,False,True,39,1850,True
1.3EQN,1,False,True,3,4000,False
1.40FQN,1,False,True,40,3800,True
1.41FQN,1,False,True,41,3150,True
1.42FQN,1,False,True,42,2500,True
1.43FQN,1,False,True,43,2600,True
1.44FDN,1,False,False,44,2650,True
1.45FDN,1,False,False,45,1900,True
1.46FQN,1,False,True,46,3150,True
1.47FQN,1,False,True,47,1250,True
1.48FQN,1,False,True,48,1700,True
1.4EQY,1,True,True,4,2150,False
1.5EQN,1,False,True,5,1450,False
1.6EQY,1,True,True,6,1150,False
1.7EDY,1,True,False,7,2000,False
1.8EDY,1,True,False,8,4000,False
1.9EDN,1,False,False,9,1300,False
10.10EDY,10,True,False,10,3200,False
10.11EQN,10,False,True,11,1500,False
10.12EQY,10,True,True,12,1600,False
10.13EQN,10,False,True,13,2000,False
10.14EDN,10,False,False,14,2700,False
10.15EQY,10,True,True,15,1550,False
10.16EDN,10,False,False,16,2650,False
10.17FQY,10,True,True,17,1450,True
10.18FQY,10,True,True,18,1350,True
10.19FQY,10,True,True,19,2250,True
10.1EQY,10,True,True,1,2000,False
10.20FQY,10,True,True,20,1100,True
10.21FQY,10,True,True,21,1300,True
10.22FQY,10,True,True,22,800,True
10.23FQY,10,True,True,23,2300,True
10.24FQY,10,True,True,24,1750,True
10.25FDY,10,True,False,25,1950,True
10.26FQY,10,True,True,26,1200,True
10.27FQY,10,True,True,27,1800,True
10.28FQY,10,True,True,28,1000,True
10.29FQY,10,True,True,29,2700,True
10.2EDY,10,True,False,2,1200,False
10.30FDY,10,True,False,30,2650,True
10.31FDY,10,True,False,31,2100,True
10.32FDY,10,True,False,32,3050,True
10.33FDN,10,False,False,33,1450,True
10.34FQN,10,False,True,34,2250,True
10.35FDN,10,False,False,35,1300,True
10.36FQN,10,False,True,36,1600,True
10.37FDN,10,False,False,37,1450,True
10.38FDN,10,False,False,38,1950,True
10.39FDN,10,False,False,39,1900,True
10.3EDY,10,True,False,3,2200,False
10.40FDN,10,False,False,40,2400,True
10.41FDN,10,False,False,41,1950,True
10.42FDN,10,False,False,42,2200,True
10.43FDN,10,False,False,43,2650,True
10.44FQN,10,False,True,44,2750,True
10.45FQN,10,False,True,45,2950,True
10.46FDN,10,False,False,46,1750,True
10.47FDN,10,False,False,47,1600,True
10.48FDN,10,False,False,48,1050,True
10.4EDN,10,False,False,4,850,False
10.5EDY,10,True,False,5,2400,False
10.6EDN,10,False,False,6,2000,False
10.7EQN,10,False,True,7,1700,False
10.8EQN,10,False,True,8,2250,False
10.9EQY,10,True,True,9,1900,False
