isFiller,Condition_Q,Condition_GP,Participant,Item,irt,File_pair
True,False,False,210,37,5611,210.37FDN
True,False,False,210,40,6225,210.40FDN
True,True,True,210,27,9672,210.27FQY
False,True,True,210,9,8733,210.9EQY
False,False,True,210,2,7116,210.2EDY
False,False,True,210,10,5354,210.10EDY
False,False,False,210,6,3377,210.6EDN
False,False,False,210,14,6775,210.14EDN
True,True,True,210,19,8213,210.19FQY
True,False,False,210,46,6869,210.46FDN
True,True,True,210,21,5211,210.21FQY
True,False,True,210,32,4687,210.32FDY
True,True,False,210,36,4601,210.36FQN
True,True,True,210,26,6630,210.26FQY
True,False,False,210,41,8390,210.41FDN
False,False,True,210,5,6939,210.5EDY
False,True,False,210,13,5164,210.13EQN
True,True,True,210,18,5571,210.18FQY
False,True,False,210,7,7759,210.7EQN
False,False,True,210,3,5250,210.3EDY
True,True,True,210,20,6439,210.20FQY
True,False,False,210,47,3161,210.47FDN
True,False,False,210,38,7412,210.38FDN
True,False,False,210,35,4664,210.35FDN
True,False,False,210,42,5201,210.42FDN
True,False,True,210,25,6089,210.25FDY
True,False,True,210,31,5054,210.31FDY
True,True,True,210,28,1642,210.28FQY
True,False,False,210,33,8702,210.33FDN
True,True,True,210,23,5138,210.23FQY
True,True,False,210,44,3354,210.44FQN
False,False,False,210,4,8105,210.4EDN
False,True,True,210,12,6242,210.12EQY
False,False,False,210,16,6422,210.16EDN
False,True,True,210,15,5901,210.15EQY
False,True,False,210,11,8043,210.11EQN
True,False,True,210,30,4508,210.30FDY
True,True,False,210,34,5008,210.34FQN
True,True,True,210,24,5538,210.24FQY
True,True,True,210,29,4661,210.29FQY
True,False,False,210,39,2938,210.39FDN
True,False,False,210,43,3881,210.43FDN
True,True,True,210,22,4841,210.22FQY
True,True,False,210,45,4191,210.45FQN
True,False,False,210,48,5011,210.48FDN
False,True,True,210,1,3894,210.1EQY
True,True,True,210,17,8702,210.17FQY
False,True,False,210,8,11661,210.8EQN
True,True,True,204,19,5971,204.19FQY
True,False,False,204,46,5794,204.46FDN
True,True,True,204,21,5021,204.21FQY
False,True,False,204,9,6632,204.9EQN
True,False,False,204,37,5721,204.37FDN
False,False,False,204,2,5544,204.2EDN
True,False,False,204,40,6329,204.40FDN
False,False,True,204,6,7429,204.6EDY
True,True,True,204,27,6542,204.27FQY
False,True,False,204,12,7486,204.12EQN
False,False,True,204,16,5061,204.16EDY
False,True,True,204,11,9359,204.11EQY
True,True,True,204,18,7129,204.18FQY
False,True,False,204,15,6121,204.15EQN
True,True,True,204,20,2760,204.20FQY
True,False,False,204,47,4658,204.47FDN
False,False,False,204,5,6018,204.5EDN
True,True,False,204,36,6991,204.36FQN
True,False,True,204,32,5198,204.32FDY
True,True,True,204,26,5868,204.26FQY
False,True,True,204,7,7218,204.7EQY
False,False,False,204,3,4018,204.3EDN
True,False,False,204,41,4034,204.41FDN
True,False,False,204,33,3407,204.33FDN
True,True,True,204,23,3359,204.23FQY
True,True,False,204,44,5850,204.44FQN
False,False,True,204,14,4349,204.14EDY
False,False,False,204,10,5220,204.10EDN
True,False,False,204,38,5232,204.38FDN
True,False,False,204,35,3428,204.35FDN
True,False,False,204,42,4911,204.42FDN
True,False,True,204,25,6215,204.25FDY
True,False,True,204,31,7705,204.31FDY
False,False,True,204,4,7319,204.4EDY
True,True,True,204,28,6819,204.28FQY
True,True,True,204,22,3841,204.22FQY
True,True,False,204,45,5298,204.45FQN
True,False,False,204,48,5911,204.48FDN
False,True,True,204,13,5644,204.13EQY
True,True,True,204,17,4950,204.17FQY
False,True,False,204,1,6409,204.1EQN
True,True,False,204,34,6929,204.34FQN
True,False,True,204,30,6982,204.30FDY
True,True,True,204,24,7466,204.24FQY
True,True,True,204,29,5608,204.29FQY
True,False,False,204,39,4715,204.39FDN
False,True,True,204,8,5121,204.8EQY
True,False,False,204,43,5941,204.43FDN
True,False,True,203,19,2131,203.19FDY
False,True,False,203,14,2710,203.14EQN
False,True,True,203,10,2914,203.10EQY
