isFiller,Condition_Q,Condition_GP,Participant,Item,irt,File_pair,R2 UL,R2 Lead,R2 FL,R1 UL,R1 FL,R1 Trail
TRUE,FALSE,FALSE,210,37,5612.0,210.37FDN,4560,4590,9750.62,3630,5102,1022
TRUE,FALSE,FALSE,210,40,2835.75,210.40FDN,7230,1230,8843.5,3720,5895.75,1605.75
TRUE,TRUE,TRUE,210,27,9642.12,210.27FQY,4710,8460,15646.25,3420,5442.12,1182.12
FALSE,TRUE,TRUE,210,9,8672.88,210.9EQY,4680,6090,11111.12,3630,7142.88,2582.88
FALSE,FALSE,TRUE,210,2,7055.5,210.2EDY,4260,6090,10544.25,3810,5555.5,965.5
FALSE,FALSE,TRUE,210,10,5325.25,210.10EDY,3660,5130,9750.62,3990,4875.25,195.25
FALSE,FALSE,FALSE,210,6,1818.38,210.6EDN,5220,1680,7256.25,3240,4308.38,138.38
FALSE,FALSE,FALSE,210,14,6685.38,210.14EDN,3390,5940,10544.25,2910,5215.38,745.38
TRUE,TRUE,TRUE,210,19,8183.12,210.19FQY,3420,5340,9750.62,3810,7823.12,2843.12
TRUE,FALSE,FALSE,210,46,6778.88,210.46FDN,4950,5970,11678,3810,5668.88,808.88
TRUE,TRUE,TRUE,210,21,5212.38,210.21FQY,4140,3990,8843.5,3630,5782.38,1222.38
TRUE,FALSE,TRUE,210,32,4628.25,210.32FDY,3600,4620,8956.88,3120,3968.25,8.25
TRUE,TRUE,FALSE,210,36,4541.75,210.36FQN,3810,4410,8616.75,3600,4421.75,131.75
TRUE,TRUE,TRUE,210,26,6939.5,210.26FQY,7110,5280,13378.62,4290,7029.5,1659.5
TRUE,FALSE,FALSE,210,41,8419.62,210.41FDN,3570,5460,9183.62,3840,7369.62,2959.62
FALSE,FALSE,TRUE,210,5,6849.12,210.5EDY,3930,5370,9410.38,3660,6009.12,1479.12
FALSE,TRUE,FALSE,210,13,5075.12,210.13EQN,3570,4830,9410.38,3030,4535.12,245.12
TRUE,TRUE,TRUE,210,18,5482.38,210.18FQY,4620,4860,10657.62,4170,5782.38,622.38
FALSE,TRUE,FALSE,210,7,7729.25,210.7EQN,3870,6360,10771,4140,6349.25,1369.25
FALSE,FALSE,TRUE,210,3,5192.5,210.3EDY,4950,4590,9637.25,4200,6122.5,602.5
TRUE,TRUE,TRUE,210,20,6438.75,210.20FQY,4050,5610,10430.88,3720,5328.75,828.75
TRUE,FALSE,FALSE,210,47,1901.75,210.47FDN,4980,1590,7709.75,3450,4421.75,311.75
TRUE,FALSE,FALSE,210,38,7382.88,210.38FDN,3900,4680,10657.62,3300,7142.88,2702.88
TRUE,FALSE,FALSE,210,35,5415.25,210.35FDN,3870,4680,9070.25,3210,4875.25,735.25
TRUE,FALSE,FALSE,210,42,5021.75,210.42FDN,4320,4800,9410.38,3750,4421.75,221.75
TRUE,FALSE,TRUE,210,25,1798.5,210.25FDY,2220,1590,9864,3840,4648.5,208.5
TRUE,FALSE,TRUE,210,31,5085.25,210.31FDY,3870,4800,9750.62,3660,4875.25,285.25
TRUE,TRUE,TRUE,210,28,4972.38,210.28FQY,3750,3420,9750.62,3420,5782.38,1552.38
TRUE,FALSE,FALSE,210,33,8642.0,210.33FDN,3960,7350,11337.88,3180,5102,1292
TRUE,TRUE,TRUE,210,23,6069.12,210.23FQY,3510,3990,8730.12,3240,6009.12,2079.12
TRUE,TRUE,FALSE,210,44,1045.0,210.44FQN,3450,1020,9183.62,3510,4195,25
FALSE,FALSE,FALSE,210,4,7926.38,210.4EDN,3930,4800,8730.12,3480,7596.38,3126.38
FALSE,TRUE,TRUE,210,12,1982.0,210.12EQY,8250,1140,9523.75,3480,5102,842
FALSE,FALSE,FALSE,210,16,6331.62,210.16EDN,3300,5910,9750.62,3060,4081.62,421.62
FALSE,TRUE,TRUE,210,15,5902.38,210.15EQY,4140,4620,8956.88,3600,5782.38,1282.38
FALSE,TRUE,FALSE,210,11,7952.88,210.11EQN,3600,5490,9864,3720,7142.88,2462.88
TRUE,FALSE,TRUE,210,30,4478.62,210.30FDY,3780,4050,8163.25,3720,4988.62,428.62
TRUE,TRUE,FALSE,210,34,5038.88,210.34FQN,3900,4020,8843.5,3660,5668.88,1018.88
TRUE,TRUE,TRUE,210,24,5448.75,210.24FQY,3690,4290,8730.12,3240,5328.75,1158.75
TRUE,TRUE,TRUE,210,29,1181.75,210.29FQY,7320,1170,8503.38,3300,4421.75,11.75
TRUE,FALSE,FALSE,210,39,2818.5,210.39FDN,4440,2340,6802.75,3450,4648.5,478.5
TRUE,FALSE,FALSE,210,43,3821.75,210.43FDN,3630,3150,6802.75,3090,4421.75,671.75
TRUE,TRUE,TRUE,210,22,4722.12,210.22FQY,4110,3810,7936.5,3750,5442.12,912.12
TRUE,TRUE,FALSE,210,45,4161.88,210.45FQN,6300,3900,10204.12,3660,4761.88,261.88
TRUE,FALSE,FALSE,210,48,4952.0,210.48FDN,3750,4440,8503.38,3630,5102,512
FALSE,TRUE,TRUE,210,1,3835.38,210.1EQY,4110,3450,8276.62,3930,5215.38,385.38
TRUE,TRUE,TRUE,210,17,8673.25,210.17FQY,3960,5130,9637.25,3420,8163.25,3543.25
FALSE,TRUE,FALSE,210,8,5901.5,210.8EQN,6420,5880,17913.88,3180,3741.5,21.5
TRUE,TRUE,TRUE,204,19,2702.0,204.19FQY,6540,1680,9637.25,3360,5102,1022
TRUE,FALSE,FALSE,204,46,3636.38,204.46FDN,7410,1380,9637.25,4320,7596.38,2256.38
FALSE,TRUE,FALSE,204,9,1742.0,204.9EQN,8460,1230,10997.75,3630,5102,512
TRUE,TRUE,TRUE,204,21,2142.12,204.21FQY,8160,1020,9183.62,3600,5442.12,1122.12
TRUE,FALSE,FALSE,204,37,5842.38,204.37FDN,4740,4440,10090.75,3720,5782.38,1402.38
FALSE,FALSE,FALSE,204,2,2215.38,204.2EDN,6960,1710,9297,4050,5215.38,505.38
TRUE,FALSE,FALSE,204,40,2068.88,204.40FDN,8670,1170,9977.38,4020,5668.88,898.88
FALSE,FALSE,TRUE,204,6,2178.75,204.6EDY,2490,1530,11111.12,4020,5328.75,648.75
TRUE,TRUE,TRUE,204,27,1802.0,204.27FQY,9060,1590,10657.62,4080,5102,212
FALSE,TRUE,FALSE,204,12,2445.75,204.12EQN,9390,1680,11337.88,4320,5895.75,765.75
FALSE,FALSE,TRUE,204,16,1701.88,204.16EDY,7560,1260,9183.62,3750,4761.88,441.88
TRUE,TRUE,TRUE,204,18,3139.25,204.18FQY,7920,1710,10884.38,4020,6349.25,1429.25
FALSE,TRUE,FALSE,204,15,5282.0,204.15EQN,5640,5130,10771,4080,5102,152
TRUE,TRUE,TRUE,204,20,9816.0,204.20FQY,4920,6660,12358.25,2820,6576,3156
TRUE,FALSE,FALSE,204,47,3008.62,204.47FDN,5370,2880,8276.62,4170,4988.62,128.62
FALSE,FALSE,FALSE,204,5,6048.75,204.5EDN,4920,4980,10771,3630,5328.75,1068.75
TRUE,TRUE,FALSE,204,36,2672.5,204.36FQN,7830,1920,11451.25,4260,6122.5,752.5
TRUE,FALSE,TRUE,204,32,1538.62,204.32FDY,6780,1380,8163.25,3930,4988.62,158.62
TRUE,TRUE,TRUE,204,26,1969.25,204.26FQY,7320,930,9183.62,4800,6349.25,1039.25
FALSE,TRUE,TRUE,204,7,2029.25,204.7EQY,9330,1290,11678,4650,6349.25,739.25
FALSE,FALSE,FALSE,204,3,1138.5,204.3EDN,7020,1020,8049.88,3780,4648.5,118.5
TRUE,FALSE,FALSE,204,41,1814.88,204.41FDN,6510,1680,8730.12,3150,3854.88,134.88
TRUE,FALSE,FALSE,204,33,1878.38,204.33FDN,5100,1860,8276.62,3690,4308.38,18.38
TRUE,TRUE,TRUE,204,23,939.12,204.23FQY,7440,930,8390,4950,6009.12,9.12
TRUE,TRUE,FALSE,204,44,558.75,204.44FQN,3030,450,10430.88,4560,5328.75,108.75
