isFiller,Condition_Q,Condition_GP,Participant,Item,irt,File_pair,R2 UL,R2 Lead,R2 FL,R1 UL,R1 FL,R1 Trail
True,False,False,210,37,5582.04,210.37FDN,4710.0,4620.0,9750.56,3660.0,5102.04,962.04
True,False,False,210,40,2805.69,210.40FDN,7440.0,1260.0,8843.54,3780.0,5895.69,1545.69
True,True,True,210,27,9642.17,210.27FQY,3630.0,8460.0,15646.25,3420.0,5442.17,1182.17
False,True,True,210,9,2162.85,210.9EQY,8100.0,1860.0,11111.1,5910.0,7142.85,302.85
False,False,True,210,2,4145.56,210.2EDY,6390.0,4140.0,10544.21,4770.0,5555.56,5.56
False,False,True,210,10,5325.29,210.10EDY,3630.0,5160.0,9750.56,4020.0,4875.29,165.29
False,False,False,210,6,3468.4,210.6EDN,3570.0,3330.0,7256.23,3210.0,4308.4,138.4
False,False,False,210,14,5185.42,210.14EDN,5100.0,4530.0,10544.21,2970.0,5215.42,655.42
True,True,True,210,19,5363.12,210.19FQY,3450.0,5340.0,9750.56,6630.0,7823.12,23.12
True,False,False,210,46,6778.94,210.46FDN,4950.0,5970.0,11678.0,3810.0,5668.94,808.94
True,True,True,210,21,5122.31,210.21FQY,4200.0,3990.0,8843.54,3690.0,5782.31,1132.31
True,False,True,210,32,2468.25,210.32FDY,5820.0,2460.0,8956.92,3090.0,3968.25,8.25
True,True,False,210,36,4541.77,210.36FQN,3870.0,4410.0,8616.77,3600.0,4421.77,131.77
True,True,True,210,26,4479.48,210.26FQY,3210.0,2850.0,13378.69,4560.0,7029.48,1629.48
True,False,False,210,41,7039.6,210.41FDN,3540.0,5490.0,9183.67,5220.0,7369.6,1549.6
False,False,True,210,5,3909.06,210.5EDY,6810.0,2430.0,9410.44,3630.0,6009.06,1479.06
False,True,False,210,13,5105.15,210.13EQN,3540.0,4860.0,9410.44,3030.0,4535.15,245.15
True,True,True,210,18,2632.31,210.18FQY,7470.0,2010.0,10657.6,4290.0,5782.31,622.31
False,True,False,210,7,6409.21,210.7EQN,3840.0,6390.0,10770.98,5580.0,6349.21,19.21
False,False,True,210,3,5192.46,210.3EDY,5040.0,4590.0,9637.19,4200.0,6122.46,602.46
True,True,True,210,20,6468.79,210.20FQY,4020.0,5640.0,10430.83,3690.0,5328.79,828.79
True,False,False,210,47,1901.77,210.47FDN,4950.0,1620.0,7709.75,3450.0,4421.77,281.77
True,False,False,210,38,5672.85,210.38FDN,4800.0,4680.0,10657.6,5010.0,7142.85,992.85
True,False,False,210,35,1545.29,210.35FDN,7710.0,840.0,9070.29,3240.0,4875.29,705.29
True,False,False,210,42,5021.77,210.42FDN,4320.0,4830.0,9410.44,3750.0,4421.77,191.77
True,False,True,210,25,1948.52,210.25FDY,8040.0,1740.0,9863.94,3810.0,4648.52,208.52
True,False,True,210,31,5085.29,210.31FDY,3870.0,4800.0,9750.56,3660.0,4875.29,285.29
True,True,True,210,28,3082.31,210.28FQY,5640.0,1530.0,9750.56,3420.0,5782.31,1552.31
True,False,False,210,33,8582.04,210.33FDN,3960.0,7350.0,11337.88,3240.0,5102.04,1232.04
True,True,True,210,23,6069.06,210.23FQY,3480.0,4020.0,8730.17,3240.0,6009.06,2049.06
True,True,False,210,44,3295.02,210.44FQN,5100.0,3270.0,9183.67,3480.0,4195.02,25.02
False,False,False,210,4,7926.38,210.4EDN,3840.0,4830.0,8730.17,3510.0,7596.38,3096.38
False,True,True,210,12,6182.04,210.12EQY,4050.0,5340.0,9523.81,3450.0,5102.04,842.04
False,False,False,210,16,2371.62,210.16EDN,7290.0,1980.0,9750.56,3090.0,4081.62,391.62
False,True,True,210,15,2332.31,210.15EQY,7710.0,1050.0,8956.92,3600.0,5782.31,1282.31
False,True,False,210,11,7952.85,210.11EQN,3600.0,5490.0,9863.94,3720.0,7142.85,2462.85
True,False,True,210,30,4448.67,210.30FDY,3780.0,4080.0,8163.27,3750.0,4988.67,368.67
True,True,False,210,34,2338.94,210.34FQN,6660.0,1440.0,8843.54,3780.0,5668.94,898.94
True,True,True,210,24,2388.79,210.24FQY,6780.0,1230.0,8730.17,3240.0,5328.79,1158.79
True,True,True,210,29,1211.77,210.29FQY,7290.0,1200.0,8503.4,3300.0,4421.77,11.77
True,False,False,210,39,2578.52,210.39FDN,3870.0,2370.0,6802.73,3720.0,4648.52,208.52
True,False,False,210,43,3761.77,210.43FDN,3480.0,3150.0,6802.73,3150.0,4421.77,611.77
True,True,True,210,22,2832.17,210.22FQY,5100.0,2820.0,7936.5,4620.0,5442.17,12.17
True,True,False,210,45,1611.9,210.45FQN,6240.0,1380.0,10204.08,3690.0,4761.9,231.9
True,False,False,210,48,2402.04,210.48FDN,6300.0,1860.0,8503.4,3570.0,5102.04,542.04
False,True,True,210,1,1345.42,210.1EQY,6660.0,960.0,8276.65,3930.0,5215.42,385.42
True,True,True,210,17,6723.27,210.17FQY,3960.0,5130.0,9637.19,5370.0,8163.27,1593.27
False,True,False,210,8,5871.5,210.8EQN,9450.0,5850.0,17913.83,3180.0,3741.5,21.5
True,True,True,204,19,2732.04,204.19FQY,6750.0,1710.0,9637.19,3330.0,5102.04,1022.04
True,False,False,204,46,3606.38,204.46FDN,7410.0,1410.0,9637.19,4350.0,7596.38,2196.38
True,True,True,204,21,1812.17,204.21FQY,8160.0,1020.0,9183.67,3900.0,5442.17,792.17
False,True,False,204,9,1742.04,204.9EQN,8460.0,1260.0,10997.73,3660.0,5102.04,482.04
True,False,False,204,37,5752.31,204.37FDN,4740.0,4440.0,10090.71,3780.0,5782.31,1312.31
False,False,False,204,2,2005.42,204.2EDN,6990.0,1710.0,9297.06,4230.0,5215.42,295.42
True,False,False,204,40,2068.94,204.40FDN,8640.0,1170.0,9977.33,4020.0,5668.94,898.94
False,False,True,204,6,2178.79,204.6EDY,2430.0,1560.0,11111.1,3870.0,5328.79,618.79
True,True,True,204,27,1832.04,204.27FQY,9030.0,1620.0,10657.6,4050.0,5102.04,212.04
False,True,False,204,12,2235.69,204.12EQN,9540.0,1680.0,11337.88,4530.0,5895.69,555.69
False,False,True,204,16,1281.9,204.16EDY,7560.0,1260.0,9183.67,4170.0,4761.9,21.9
True,True,True,204,18,7039.21,204.18FQY,5220.0,5640.0,10884.35,4020.0,6349.21,1399.21
False,True,False,204,15,6092.04,204.15EQN,5610.0,5160.0,10770.98,3300.0,5102.04,932.04
True,True,True,204,20,9785.96,204.20FQY,4080.0,6660.0,12358.27,2820.0,6575.96,3125.96
True,False,False,204,47,4148.67,204.47FDN,3390.0,3990.0,8276.65,4140.0,4988.67,158.67
False,False,False,204,5,5928.79,204.5EDN,3750.0,4920.0,10770.98,3660.0,5328.79,1008.79
True,True,False,204,36,2672.46,204.36FQN,7830.0,1950.0,11451.25,4260.0,6122.46,722.46
True,False,True,204,32,1538.67,204.32FDY,6750.0,1410.0,8163.27,3930.0,4988.67,128.67
True,True,True,204,26,2149.21,204.26FQY,7320.0,930.0,9183.67,4590.0,6349.21,1219.21
False,True,True,204,7,2059.21,204.7EQY,9300.0,1320.0,11678.0,4620.0,6349.21,739.21
False,False,False,204,3,1168.52,204.3EDN,6990.0,1050.0,8049.9,3750.0,4648.52,118.52
True,False,False,204,41,1784.88,204.41FDN,6570.0,1650.0,8730.17,3120.0,3854.88,134.88
True,False,False,204,33,1878.4,204.33FDN,5070.0,1860.0,8276.65,3660.0,4308.4,18.4
True,True,True,204,23,969.06,204.23FQY,7410.0,960.0,8390.02,4920.0,6009.06,9.06
True,True,False,204,44,498.79,204.44FQN,3120.0,480.0,10430.83,4620.0,5328.79,18.79
False,False,True,204,14,1915.83,204.14EDY,7080.0,1890.0,10090.71,5520.0,6235.83,25.83
False,False,False,204,10,3106.1,204.10EDN,7530.0,2670.0,11337.88,5790.0,6916.1,436.1
True,False,False,204,38,2082.58,204.38FDN,7230.0,810.0,9637.19,4170.0,6462.58,1272.58
True,False,False,204,35,1958.67,204.35FDN,3510.0,1500.0,8843.54,3630.0,4988.67,458.67
True,False,False,204,42,1852.31,204.42FDN,7950.0,1320.0,9297.06,4260.0,5782.31,532.31
True,False,True,204,25,1655.56,204.25FDY,8700.0,1140.0,9863.94,4320.0,5555.56,515.56
True,False,True,204,31,7675.42,204.31FDY,3900.0,6600.0,12018.15,3570.0,5215.42,1075.42
False,False,True,204,4,6598.94,204.4EDY,4770.0,6540.0,12358.27,5040.0,5668.94,58.94
True,True,True,204,28,2499.06,204.28FQY,8160.0,1470.0,11224.5,3960.0,6009.06,1029.06
True,True,True,204,22,1532.46,204.22FQY,7050.0,360.0,7823.12,4260.0,6122.46,1172.46
True,True,False,204,45,2148.79,204.45FQN,7410.0,1230.0,10430.83,3720.0,5328.79,918.79
True,False,False,204,48,2522.46,204.48FDN,7140.0,1530.0,10430.83,4290.0,6122.46,992.46
False,True,True,204,13,1715.96,204.13EQY,7290.0,930.0,8956.92,4800.0,6575.96,785.96
True,True,True,204,17,1502.46,204.17FQY,6870.0,1020.0,8390.02,4530.0,6122.46,482.46
False,True,False,204,1,1698.79,204.1EQN,8760.0,1320.0,11564.62,4050.0,5328.79,378.79
True,True,False,204,34,2728.94,204.34FQN,7920.0,2010.0,10657.6,4020.0,5668.94,718.94
True,False,True,204,30,3622.31,204.30FDY,7440.0,2400.0,10770.98,3870.0,5782.31,1222.31
True,True,True,204,24,3265.83,204.24FQY,7530.0,1470.0,10884.35,3810.0,6235.83,1795.83
True,True,True,204,29,5548.94,204.29FQY,6090.0,5220.0,11337.88,4410.0,5668.94,328.94
True,False,False,204,39,1865.56,204.39FDN,6390.0,900.0,8390.02,3630.0,5555.56,965.56
False,True,True,204,8,982.73,204.8EQY,7770.0,960.0,8730.17,5700.0,6802.73,22.73
True,False,False,204,43,3032.04,204.43FDN,6210.0,2310.0,9863.94,3600.0,5102.04,722.04
True,False,True,203,19,2101.23,203.19FDY,2640.0,2100.0,4761.9,2430.0,3061.23,1.23
False,True,False,203,14,2621.35,203.14EQN,2970.0,2460.0,5555.56,2580.0,3401.35,161.35
False,True,True,203,10,2914.73,203.10EQY,3210.0,2880.0,6575.96,2790.0,3514.73,34.73
True,False,True,203,21,2138.25,203.21FDY,4080.0,900.0,4988.67,2160.0,3968.25,1238.25
False,True,True,203,5,1191.5,203.5EQY,3870.0,1170.0,5102.04,2430.0,3741.5,21.5
True,True,False,203,46,2374.73,203.46FQN,3150.0,2370.0,6009.06,2640.0,3514.73,4.73
True,False,True,203,27,2421.5,203.27FDY,3030.0,2400.0,5442.17,3210.0,3741.5,21.5
True,True,False,203,40,4367.98,203.40FQN,3450.0,4350.0,8163.27,2490.0,3287.98,17.98
False,False,False,203,7,847.85,203.7EDN,4620.0,690.0,5328.79,2130.0,2947.85,157.85
False,True,True,203,3,3651.5,203.3EQY,4680.0,3630.0,8616.77,2610.0,3741.5,21.5
True,True,False,203,37,1291.23,203.37FQN,2550.0,1290.0,3854.88,2130.0,3061.23,1.23
False,False,True,203,9,2475.29,203.9EDY,3180.0,2250.0,5442.17,3870.0,4875.29,225.29
True,False,True,203,20,1817.98,203.20FDY,3180.0,1680.0,4988.67,2520.0,3287.98,137.98
True,False,True,203,18,1500.0,203.18FDY,3360.0,1500.0,4875.29,,,
True,True,False,203,47,1530.0,203.47FQN,2640.0,1530.0,4195.02,,,
True,True,False,203,41,2344.73,203.41FQN,3540.0,2340.0,5895.69,2580.0,3514.73,4.73
False,True,True,203,2,2131.62,203.2EQY,3630.0,2130.0,5895.69,3360.0,4081.62,1.62
True,False,True,203,26,1405.02,203.26FDY,3990.0,1380.0,5442.17,3060.0,4195.02,25.02
True,True,True,203,32,2131.23,203.32FQY,2700.0,2130.0,7483.0,2310.0,3061.23,1.23
True,False,False,203,36,900.0,203.36FDN,3630.0,900.0,4535.15,,,
False,True,False,203,6,731.35,203.6EQN,4170.0,630.0,4988.67,2670.0,3401.35,101.35
False,False,False,203,13,1255.02,203.13EDN,4110.0,750.0,4875.29,2340.0,4195.02,505.02
True,False,False,203,44,4678.52,203.44FDN,4140.0,4260.0,8616.77,3570.0,4648.52,418.52
True,False,True,203,23,2091.08,203.23FDY,3630.0,2010.0,5668.94,2100.0,2721.08,81.08
True,True,False,203,33,2268.4,203.33FQN,3390.0,2250.0,5668.94,3510.0,4308.4,18.4
False,False,True,203,12,1554.6,203.12EDY,3600.0,1530.0,5442.17,2310.0,3174.6,24.6
False,True,False,203,16,1684.73,203.16EQN,2370.0,1680.0,4308.4,3090.0,3514.73,4.73
True,False,True,203,28,2161.23,203.28FDY,3840.0,2160.0,6009.06,2190.0,3061.23,1.23
False,False,True,203,1,1604.46,203.1EDY,3060.0,1590.0,4988.67,2190.0,2834.46,14.46
True,True,True,203,31,3210.0,203.31FQY,3360.0,3210.0,6575.96,,,
True,True,True,203,25,2308.52,203.25FQY,2580.0,1500.0,4081.62,3150.0,4648.52,808.52
True,True,False,203,42,4601.77,203.42FQN,3630.0,4440.0,8390.02,3270.0,4421.77,161.77
True,True,False,203,35,2177.98,203.35FQN,4290.0,2160.0,6462.58,2520.0,3287.98,17.98
False,False,False,203,8,1997.98,203.8EDN,4230.0,1980.0,6235.83,2580.0,3287.98,17.98
True,True,False,203,38,2571.9,203.38FQN,3420.0,1800.0,5328.79,2880.0,4761.9,771.9
True,True,False,203,48,1678.12,203.48FQN,3120.0,1650.0,4988.67,2880.0,3628.12,28.12
True,False,False,203,45,1994.88,203.45FDN,3090.0,1650.0,4761.9,2760.0,3854.88,344.88
True,False,True,203,22,1944.6,203.22FDY,3180.0,1920.0,5102.04,2340.0,3174.6,24.6
True,False,True,203,17,3821.35,203.17FDY,4860.0,3810.0,8730.17,2370.0,3401.35,11.35
False,False,False,203,11,1915.02,203.11EDN,3300.0,1500.0,6462.58,3240.0,4195.02,415.02
False,False,True,203,15,1811.35,203.15EDY,2970.0,1470.0,4648.52,2460.0,3401.35,341.35
True,True,False,203,43,1357.85,203.43FQN,3510.0,1350.0,5215.42,2250.0,2947.85,7.85
True,True,False,203,39,1837.85,203.39FQN,2970.0,1830.0,5102.04,2160.0,2947.85,7.85
