isFiller,Condition_Q,Condition_GP,Participant,Item,irt,File_pair,R2 UL,R2 Lead,R2 FL,R1 UL,R1 FL,R1 Trail
True,False,False,210,37,5612.0,210.37FDN,4560.0,4590.0,9750.62,3630.0,5102.0,1022.0
True,False,False,210,40,2835.75,210.40FDN,7230.0,1230.0,8843.5,3720.0,5895.75,1605.75
True,True,True,210,27,9642.12,210.27FQY,4710.0,8460.0,15646.25,3420.0,5442.12,1182.12
False,True,True,210,9,8672.88,210.9EQY,4680.0,6090.0,11111.12,3630.0,7142.88,2582.88
False,False,True,210,2,7055.5,210.2EDY,4260.0,6090.0,10544.25,3810.0,5555.5,965.5
False,False,True,210,10,5325.25,210.10EDY,3660.0,5130.0,9750.62,3990.0,4875.25,195.25
False,False,False,210,6,1818.38,210.6EDN,5220.0,1680.0,7256.25,3240.0,4308.38,138.38
False,False,False,210,14,6685.38,210.14EDN,3390.0,5940.0,10544.25,2910.0,5215.38,745.38
True,True,True,210,19,8183.12,210.19FQY,3420.0,5340.0,9750.62,3810.0,7823.12,2843.12
True,False,False,210,46,6778.88,210.46FDN,4950.0,5970.0,11678.0,3810.0,5668.88,808.88
True,True,True,210,21,5212.38,210.21FQY,4140.0,3990.0,8843.5,3630.0,5782.38,1222.38
True,False,True,210,32,4628.25,210.32FDY,3600.0,4620.0,8956.88,3120.0,3968.25,8.25
True,True,False,210,36,4541.75,210.36FQN,3810.0,4410.0,8616.75,3600.0,4421.75,131.75
True,True,True,210,26,6939.5,210.26FQY,7110.0,5280.0,13378.62,4290.0,7029.5,1659.5
True,False,False,210,41,8419.62,210.41FDN,3570.0,5460.0,9183.62,3840.0,7369.62,2959.62
False,False,True,210,5,6849.12,210.5EDY,3930.0,5370.0,9410.38,3660.0,6009.12,1479.12
False,True,False,210,13,5075.12,210.13EQN,3570.0,4830.0,9410.38,3030.0,4535.12,245.12
True,True,True,210,18,5482.38,210.18FQY,4620.0,4860.0,10657.62,4170.0,5782.38,622.38
False,True,False,210,7,7729.25,210.7EQN,3870.0,6360.0,10771.0,4140.0,6349.25,1369.25
False,False,True,210,3,5192.5,210.3EDY,4950.0,4590.0,9637.25,4200.0,6122.5,602.5
True,True,True,210,20,6438.75,210.20FQY,4050.0,5610.0,10430.88,3720.0,5328.75,828.75
True,False,False,210,47,1901.75,210.47FDN,4980.0,1590.0,7709.75,3450.0,4421.75,311.75
True,False,False,210,38,7382.88,210.38FDN,3900.0,4680.0,10657.62,3300.0,7142.88,2702.88
True,False,False,210,35,5415.25,210.35FDN,3870.0,4680.0,9070.25,3210.0,4875.25,735.25
True,False,False,210,42,5021.75,210.42FDN,4320.0,4800.0,9410.38,3750.0,4421.75,221.75
True,False,True,210,25,1798.5,210.25FDY,2220.0,1590.0,9864.0,3840.0,4648.5,208.5
True,False,True,210,31,5085.25,210.31FDY,3870.0,4800.0,9750.62,3660.0,4875.25,285.25
True,True,True,210,28,4972.38,210.28FQY,3750.0,3420.0,9750.62,3420.0,5782.38,1552.38
True,False,False,210,33,8642.0,210.33FDN,3960.0,7350.0,11337.88,3180.0,5102.0,1292.0
True,True,True,210,23,6069.12,210.23FQY,3510.0,3990.0,8730.12,3240.0,6009.12,2079.12
True,True,False,210,44,1045.0,210.44FQN,3450.0,1020.0,9183.62,3510.0,4195.0,25.0
False,False,False,210,4,7926.38,210.4EDN,3930.0,4800.0,8730.12,3480.0,7596.38,3126.38
False,True,True,210,12,1982.0,210.12EQY,8250.0,1140.0,9523.75,3480.0,5102.0,842.0
False,False,False,210,16,6331.62,210.16EDN,3300.0,5910.0,9750.62,3060.0,4081.62,421.62
False,True,True,210,15,5902.38,210.15EQY,4140.0,4620.0,8956.88,3600.0,5782.38,1282.38
False,True,False,210,11,7952.88,210.11EQN,3600.0,5490.0,9864.0,3720.0,7142.88,2462.88
True,False,True,210,30,4478.62,210.30FDY,3780.0,4050.0,8163.25,3720.0,4988.62,428.62
True,True,False,210,34,5038.88,210.34FQN,3900.0,4020.0,8843.5,3660.0,5668.88,1018.88
True,True,True,210,24,5448.75,210.24FQY,3690.0,4290.0,8730.12,3240.0,5328.75,1158.75
True,True,True,210,29,1181.75,210.29FQY,7320.0,1170.0,8503.38,3300.0,4421.75,11.75
True,False,False,210,39,2818.5,210.39FDN,4440.0,2340.0,6802.75,3450.0,4648.5,478.5
True,False,False,210,43,3821.75,210.43FDN,3630.0,3150.0,6802.75,3090.0,4421.75,671.75
True,True,True,210,22,4722.12,210.22FQY,4110.0,3810.0,7936.5,3750.0,5442.12,912.12
True,True,False,210,45,4161.88,210.45FQN,6300.0,3900.0,10204.12,3660.0,4761.88,261.88
True,False,False,210,48,4952.0,210.48FDN,3750.0,4440.0,8503.38,3630.0,5102.0,512.0
False,True,True,210,1,3835.38,210.1EQY,4110.0,3450.0,8276.62,3930.0,5215.38,385.38
True,True,True,210,17,8673.25,210.17FQY,3960.0,5130.0,9637.25,3420.0,8163.25,3543.25
False,True,False,210,8,5901.5,210.8EQN,6420.0,5880.0,17913.88,3180.0,3741.5,21.5
True,True,True,204,19,2702.0,204.19FQY,6540.0,1680.0,9637.25,3360.0,5102.0,1022.0
True,False,False,204,46,3636.38,204.46FDN,7410.0,1380.0,9637.25,4320.0,7596.38,2256.38
True,True,True,204,21,2142.12,204.21FQY,8160.0,1020.0,9183.62,3600.0,5442.12,1122.12
False,True,False,204,9,1742.0,204.9EQN,8460.0,1230.0,10997.75,3630.0,5102.0,512.0
True,False,False,204,37,5842.38,204.37FDN,4740.0,4440.0,10090.75,3720.0,5782.38,1402.38
False,False,False,204,2,2215.38,204.2EDN,6960.0,1710.0,9297.0,4050.0,5215.38,505.38
True,False,False,204,40,2068.88,204.40FDN,8670.0,1170.0,9977.38,4020.0,5668.88,898.88
False,False,True,204,6,2178.75,204.6EDY,2490.0,1530.0,11111.12,4020.0,5328.75,648.75
True,True,True,204,27,1802.0,204.27FQY,9060.0,1590.0,10657.62,4080.0,5102.0,212.0
False,True,False,204,12,2445.75,204.12EQN,9390.0,1680.0,11337.88,4320.0,5895.75,765.75
False,False,True,204,16,1701.88,204.16EDY,7560.0,1260.0,9183.62,3750.0,4761.88,441.88
True,True,True,204,18,3139.25,204.18FQY,7920.0,1710.0,10884.38,4020.0,6349.25,1429.25
False,True,False,204,15,5282.0,204.15EQN,5640.0,5130.0,10771.0,4080.0,5102.0,152.0
True,True,True,204,20,9816.0,204.20FQY,4920.0,6660.0,12358.25,2820.0,6576.0,3156.0
True,False,False,204,47,3008.62,204.47FDN,5370.0,2880.0,8276.62,4170.0,4988.62,128.62
False,False,False,204,5,6048.75,204.5EDN,4920.0,4980.0,10771.0,3630.0,5328.75,1068.75
True,True,False,204,36,2672.5,204.36FQN,7830.0,1920.0,11451.25,4260.0,6122.5,752.5
True,False,True,204,32,1538.62,204.32FDY,6780.0,1380.0,8163.25,3930.0,4988.62,158.62
True,True,True,204,26,1969.25,204.26FQY,7320.0,930.0,9183.62,4800.0,6349.25,1039.25
False,True,True,204,7,2029.25,204.7EQY,9330.0,1290.0,11678.0,4650.0,6349.25,739.25
False,False,False,204,3,1138.5,204.3EDN,7020.0,1020.0,8049.88,3780.0,4648.5,118.5
True,False,False,204,41,1814.88,204.41FDN,6510.0,1680.0,8730.12,3150.0,3854.88,134.88
True,False,False,204,33,1878.38,204.33FDN,5100.0,1860.0,8276.62,3690.0,4308.38,18.38
True,True,True,204,23,939.12,204.23FQY,7440.0,930.0,8390.0,4950.0,6009.12,9.12
True,True,False,204,44,558.75,204.44FQN,3030.0,450.0,10430.88,4560.0,5328.75,108.75
False,False,True,204,14,1975.88,204.14EDY,8220.0,1860.0,10090.75,5430.0,6235.88,115.88
False,False,False,204,10,3256.12,204.10EDN,7350.0,2820.0,11337.88,5820.0,6916.12,436.12
True,False,False,204,38,2052.62,204.38FDN,7260.0,810.0,9637.25,4170.0,6462.62,1242.62
True,False,False,204,35,3128.62,204.35FDN,3960.0,2430.0,8843.5,3420.0,4988.62,698.62
True,False,False,204,42,1882.38,204.42FDN,7950.0,1320.0,9297.0,4230.0,5782.38,562.38
True,False,True,204,25,1715.5,204.25FDY,8640.0,1140.0,9864.0,4260.0,5555.5,575.5
True,False,True,204,31,7675.38,204.31FDY,3900.0,6600.0,12018.12,3570.0,5215.38,1075.38
False,False,True,204,4,6838.88,204.4EDY,4800.0,6510.0,12358.25,4770.0,5668.88,328.88
True,True,True,204,28,2499.12,204.28FQY,8160.0,1440.0,11224.5,3990.0,6009.12,1059.12
True,True,True,204,22,2912.5,204.22FQY,5670.0,1740.0,7823.12,4050.0,6122.5,1172.5
True,True,False,204,45,2238.75,204.45FQN,7350.0,1290.0,10430.88,3720.0,5328.75,948.75
True,False,False,204,48,2522.5,204.48FDN,7140.0,1530.0,10430.88,4290.0,6122.5,992.5
False,True,True,204,13,1746.0,204.13EQY,7290.0,900.0,8956.88,4770.0,6576.0,846.0
True,True,True,204,17,1502.5,204.17FQY,7350.0,1020.0,8390.0,4560.0,6122.5,482.5
False,True,False,204,1,1698.75,204.1EQN,8760.0,1320.0,11564.62,4080.0,5328.75,378.75
True,True,False,204,34,2698.88,204.34FQN,7920.0,1980.0,10657.62,3990.0,5668.88,718.88
True,False,True,204,30,3592.38,204.30FDY,7470.0,2370.0,10771.0,3900.0,5782.38,1222.38
True,True,True,204,24,3325.88,204.24FQY,7530.0,1470.0,10884.38,3780.0,6235.88,1855.88
True,True,True,204,29,5578.88,204.29FQY,5520.0,5250.0,11337.88,4410.0,5668.88,328.88
True,False,False,204,39,4715.5,204.39FDN,3540.0,3750.0,8390.0,3630.0,5555.5,965.5
False,True,True,204,8,1252.75,204.8EQY,7770.0,960.0,8730.12,5460.0,6802.75,292.75
True,False,False,204,43,3062.0,204.43FDN,6180.0,2310.0,9864.0,3600.0,5102.0,752.0
True,False,True,203,19,2071.25,203.19FDY,2610.0,2070.0,4761.88,2430.0,3061.25,1.25
False,True,False,203,14,2621.38,203.14EQN,3000.0,2430.0,5555.5,2580.0,3401.38,191.38
False,True,True,203,10,2884.75,203.10EQY,3210.0,2880.0,6576.0,2820.0,3514.75,4.75
True,False,True,203,21,2138.25,203.21FDY,4080.0,900.0,4988.62,2160.0,3968.25,1238.25
False,True,True,203,5,1191.5,203.5EQY,3780.0,1170.0,5102.0,2430.0,3741.5,21.5
True,True,False,203,46,2344.75,203.46FQN,3150.0,2340.0,6009.12,2640.0,3514.75,4.75
True,False,True,203,27,2391.5,203.27FDY,3060.0,2370.0,5442.12,3210.0,3741.5,21.5
True,True,False,203,40,4368.0,203.40FQN,3450.0,4350.0,8163.25,2490.0,3288.0,18.0
