isFiller;Participant;Item;irt;File_pair;GP_condition;Q_condition;condition;participant;item;winsrdIRT
FALSE;210; 9; 8763;210.9EQY;TRUE;TRUE;+Q +GP;210;9; 8015,0
FALSE;210; 2; 7116;210.2EDY;TRUE;FALSE;-Q +GP;210;2; 7116,0
FALSE;210;10; 5324;210.10EDY;TRUE;FALSE;-Q +GP;210;10; 5324,0
FALSE;210; 6; 3377;210.6EDN;FALSE;FALSE;-Q -GP;210;6; 5220,0
FALSE;210;14; 6745;210.14EDN;FALSE;FALSE;-Q -GP;210;14; 6745,0
FALSE;210; 5; 6909;210.5EDY;TRUE;FALSE;-Q +GP;210;5; 6909,0
FALSE;210;13; 5134;210.13EQN;FALSE;TRUE;+Q -GP;210;13; 5220,0
FALSE;210; 7; 7759;210.7EQN;FALSE;TRUE;+Q -GP;210;7; 7759,0
FALSE;210; 3; 5220;210.3EDY;TRUE;FALSE;-Q +GP;210;3; 5220,0
FALSE;210; 4; 8015;210.4EDN;FALSE;FALSE;-Q -GP;210;4; 8015,0
FALSE;210;12; 6242;210.12EQY;TRUE;TRUE;+Q +GP;210;12; 6242,0
FALSE;210;16; 6422;210.16EDN;FALSE;FALSE;-Q -GP;210;16; 6422,0
FALSE;210;15; 5901;210.15EQY;TRUE;TRUE;+Q +GP;210;15; 5901,0
FALSE;210;11; 8043;210.11EQN;FALSE;TRUE;+Q -GP;210;11; 8015,0
FALSE;210; 1; 3894;210.1EQY;TRUE;TRUE;+Q +GP;210;1; 5220,0
FALSE;210; 8;11661;210.8EQN;FALSE;TRUE;+Q -GP;210;8; 8015,0
FALSE;204; 9; 6632;204.9EQN;FALSE;TRUE;+Q -GP;204;9; 6632,0
FALSE;204; 2; 5544;204.2EDN;FALSE;FALSE;-Q -GP;204;2; 5544,0
FALSE;204; 6; 7429;204.6EDY;TRUE;FALSE;-Q +GP;204;6; 7319,0
FALSE;204;12; 7486;204.12EQN;FALSE;TRUE;+Q -GP;204;12; 7319,0
FALSE;204;16; 5091;204.16EDY;TRUE;FALSE;-Q +GP;204;16; 5121,0
FALSE;204;11; 9359;204.11EQY;TRUE;TRUE;+Q +GP;204;11; 7319,0
FALSE;204;15; 6091;204.15EQN;FALSE;TRUE;+Q -GP;204;15; 6091,0
FALSE;204; 5; 5988;204.5EDN;FALSE;FALSE;-Q -GP;204;5; 5988,0
FALSE;204; 7; 7188;204.7EQY;TRUE;TRUE;+Q +GP;204;7; 7188,0
FALSE;204; 3; 4018;204.3EDN;FALSE;FALSE;-Q -GP;204;3; 5121,0
FALSE;204;14; 4379;204.14EDY;TRUE;FALSE;-Q +GP;204;14; 5121,0
FALSE;204;10; 5190;204.10EDN;FALSE;FALSE;-Q -GP;204;10; 5190,0
FALSE;204; 4; 7319;204.4EDY;TRUE;FALSE;-Q +GP;204;4; 7319,0
FALSE;204;13; 5524;204.13EQY;TRUE;TRUE;+Q +GP;204;13; 5524,0
FALSE;204; 1; 6379;204.1EQN;FALSE;TRUE;+Q -GP;204;1; 6379,0
FALSE;204; 8; 5121;204.8EQY;TRUE;TRUE;+Q +GP;204;8; 5121,0
FALSE;203;14; 2710;203.14EQN;FALSE;TRUE;+Q -GP;203;14; 2710,0
FALSE;203;10; 2944;203.10EQY;TRUE;TRUE;+Q +GP;203;10; 2875,0
FALSE;203; 5; 2062;203.5EQY;TRUE;TRUE;+Q +GP;203;5; 2062,0
FALSE;203; 7; 1898;203.7EDN;FALSE;FALSE;-Q -GP;203;7; 1898,0
FALSE;203; 3; 4611;203.3EQY;TRUE;TRUE;+Q +GP;203;3; 2875,0
FALSE;203; 9; 1785;203.9EDY;TRUE;FALSE;-Q +GP;203;9; 1785,0
FALSE;203; 2; 2192;203.2EQY;TRUE;TRUE;+Q +GP;203;2; 2192,0
FALSE;203; 6; 1631;203.6EQN;FALSE;TRUE;+Q -GP;203;6; 1664,0
FALSE;203;13; 1855;203.13EDN;FALSE;FALSE;-Q -GP;203;13; 1855,0
FALSE;203;12; 1615;203.12EDY;TRUE;FALSE;-Q +GP;203;12; 1664,0
FALSE;203;16; 1745;203.16EQN;FALSE;TRUE;+Q -GP;203;16; 1745,0
FALSE;203; 1; 1664;203.1EDY;TRUE;FALSE;-Q +GP;203;1; 1664,0
FALSE;203; 8; 2987;203.8EDN;FALSE;FALSE;-Q -GP;203;8; 2875,0
FALSE;203;11; 2875;203.11EDN;FALSE;FALSE;-Q -GP;203;11; 2875,0
FALSE;203;15; 1541;203.15EDY;TRUE;FALSE;-Q +GP;203;15; 1664,0
FALSE;203; 4; 1702;203.4EQN;FALSE;TRUE;+Q -GP;203;4; 1702,0
FALSE;205; 4;15011;205.4EQY;TRUE;TRUE;+Q +GP;205;4;12065,0
FALSE;205;16; 7339;205.16EQY;TRUE;TRUE;+Q +GP;205;16; 7339,0
FALSE;205;12; 8659;205.12EDN;FALSE;FALSE;-Q -GP;205;12; 8659,0
FALSE;205; 8;12065;205.8EDY;TRUE;FALSE;-Q +GP;205;8;12065,0
FALSE;205; 1; 6001;205.1EDN;FALSE;FALSE;-Q -GP;205;1; 7339,0
FALSE;205;15;12964;205.15EDN;FALSE;FALSE;-Q -GP;205;15;12065,0
FALSE;205;11; 7919;205.11EDY;TRUE;FALSE;-Q +GP;205;11; 7919,0
FALSE;205;10; 6819;205.10EQN;FALSE;TRUE;+Q -GP;205;10; 7339,0
FALSE;205; 6;11694;205.6EQY;TRUE;TRUE;+Q +GP;205;6;11694,0
FALSE;205;14;11214;205.14EQY;TRUE;TRUE;+Q +GP;205;14;11214,0
FALSE;205; 2; 7985;205.2EQN;FALSE;TRUE;+Q -GP;205;2; 7985,0
FALSE;205; 9; 9662;205.9EDN;FALSE;FALSE;-Q -GP;205;9; 9662,0
FALSE;205; 7;18225;205.7EDY;TRUE;FALSE;-Q +GP;205;7;12065,0
FALSE;205; 3; 7819;205.3EQN;FALSE;TRUE;+Q -GP;205;3; 7819,0
FALSE;205; 5; 7089;205.5EQN;FALSE;TRUE;+Q -GP;205;5; 7339,0
FALSE;205;13; 8520;205.13EDY;TRUE;FALSE;-Q +GP;205;13; 8520,0
FALSE; 20;14; 8819;20.14EDY;TRUE;FALSE;-Q +GP;20;14; 8829,0
FALSE; 20; 4;10032;20.4EDY;TRUE;FALSE;-Q +GP;20;4;10032,0
FALSE; 20;10;11804;20.10EDN;FALSE;FALSE;-Q -GP;20;10;11775,0
FALSE; 20;13; 8829;20.13EQY;TRUE;TRUE;+Q +GP;20;13; 8829,0
FALSE; 20; 1;11775;20.1EQN;FALSE;TRUE;+Q -GP;20;1;11775,0
FALSE; 20; 8; 9605;20.8EQY;TRUE;TRUE;+Q +GP;20;8; 9605,0
FALSE; 20; 9;10744;20.9EQN;FALSE;TRUE;+Q -GP;20;9;10744,0
FALSE; 20; 2;10369;20.2EDN;FALSE;FALSE;-Q -GP;20;2;10369,0
FALSE; 20;16; 9302;20.16EDY;TRUE;FALSE;-Q +GP;20;16; 9302,0
FALSE; 20;12;13911;20.12EQN;FALSE;TRUE;+Q -GP;20;12;11775,0
FALSE; 20; 6; 8362;20.6EDY;TRUE;FALSE;-Q +GP;20;6; 8829,0
FALSE; 20;11;11128;20.11EQY;TRUE;TRUE;+Q +GP;20;11;11128,0
FALSE; 20;15;12227;20.15EQN;FALSE;TRUE;+Q -GP;20;15;11775,0
FALSE; 20; 5; 7455;20.5EDN;FALSE;FALSE;-Q -GP;20;5; 8829,0
FALSE; 20; 3; 9865;20.3EDN;FALSE;FALSE;-Q -GP;20;3; 9865,0
FALSE; 20; 7;10491;20.7EQY;TRUE;TRUE;+Q +GP;20;7;10491,0
FALSE;  9;13; 7513;9.13EDY;TRUE;FALSE;-Q +GP;9;13; 6665,0
FALSE;  9; 8; 5648;9.8EDY;TRUE;FALSE;-Q +GP;9;8; 5648,0
FALSE;  9; 1; 6042;9.1EDN;FALSE;FALSE;-Q -GP;9;1; 6042,0
FALSE;  9; 4; 6665;9.4EQY;TRUE;TRUE;+Q +GP;9;4; 6665,0
FALSE;  9;14;11970;9.14EQY;TRUE;TRUE;+Q +GP;9;14; 6665,0
FALSE;  9;10; 5760;9.10EQN;FALSE;TRUE;+Q -GP;9;10; 5760,0
FALSE;  9;11; 6511;9.11EDY;TRUE;FALSE;-Q +GP;9;11; 6511,0
FALSE;  9; 5; 5738;9.5EQN;FALSE;TRUE;+Q -GP;9;5; 5738,0
FALSE;  9;15; 6718;9.15EDN;FALSE;FALSE;-Q -GP;9;15; 6665,0
FALSE;  9; 3; 6499;9.3EQN;FALSE;TRUE;+Q -GP;9;3; 6499,0
FALSE;  9; 7; 6285;9.7EDY;TRUE;FALSE;-Q +GP;9;7; 6285,0
FALSE;  9; 9; 5458;9.9EDN;FALSE;FALSE;-Q -GP;9;9; 5648,0
FALSE;  9; 6; 3839;9.6EQY;TRUE;TRUE;+Q +GP;9;6; 5648,0
FALSE;  9;16; 5691;9.16EQY;TRUE;TRUE;+Q +GP;9;16; 5691,0
FALSE;  9;12; 6028;9.12EDN;FALSE;FALSE;-Q -GP;9;12; 6028,0
FALSE;  9; 2; 3689;9.2EQN;FALSE;TRUE;+Q -GP;9;2; 5648,0
FALSE; 11;16; 3869;11.16EQN;FALSE;TRUE;+Q -GP;11;16; 4911,0
FALSE; 11; 5;23313;11.5EQY;TRUE;TRUE;+Q +GP;11;5;10794,0
FALSE; 11; 7;11888;11.7EDN;FALSE;FALSE;-Q -GP;11;7;10794,0
FALSE; 11; 3; 5148;11.3EQY;TRUE;TRUE;+Q +GP;11;3; 5148,0
FALSE; 11; 6; 4482;11.6EQN;FALSE;TRUE;+Q -GP;11;6; 4911,0
FALSE; 11;11; 8569;11.11EDN;FALSE;FALSE;-Q -GP;11;11; 8569,0
FALSE; 11;15;10794;11.15EDY;TRUE;FALSE;-Q +GP;11;15;10794,0
FALSE; 11;10; 7406;11.10EQY;TRUE;TRUE;+Q +GP;11;10; 7406,0
FALSE; 11; 8; 5118;11.8EDN;FALSE;FALSE;-Q -GP;11;8; 5118,0
FALSE; 11; 1; 7056;11.1EDY;TRUE;FALSE;-Q +GP;11;1; 7056,0
FALSE; 11; 4; 4911;11.4EQN;FALSE;TRUE;+Q -GP;11;4; 4911,0
FALSE;  7;13; 6185;7.13EDN;FALSE;FALSE;-Q -GP;7;13; 6185,0
FALSE;  7; 4; 6098;7.4EQN;FALSE;TRUE;+Q -GP;7;4; 6098,0
FALSE;  7; 1; 4847;7.1EDY;TRUE;FALSE;-Q +GP;7;1; 4847,0
FALSE;  7;14; 6342;7.14EQN;FALSE;TRUE;+Q -GP;7;14; 6342,0
FALSE;  7;10; 4714;7.10EQY;TRUE;TRUE;+Q +GP;7;10; 4714,0
FALSE;  7; 8; 3744;7.8EDN;FALSE;FALSE;-Q -GP;7;8; 4714,0
FALSE;  7;11; 4411;7.11EDN;FALSE;FALSE;-Q -GP;7;11; 4714,0
FALSE;  7; 9; 7832;7.9EDY;TRUE;FALSE;-Q +GP;7;9; 6692,0
FALSE;  7;15; 5664;7.15EDY;TRUE;FALSE;-Q +GP;7;15; 5664,0
FALSE;  7; 2;10829;7.2EQY;TRUE;TRUE;+Q +GP;7;2; 6692,0
FALSE;  7; 6; 5104;7.6EQN;FALSE;TRUE;+Q -GP;7;6; 5104,0
FALSE;  7; 5; 5508;7.5EQY;TRUE;TRUE;+Q +GP;7;5; 5508,0
FALSE;  7;16; 6692;7.16EQN;FALSE;TRUE;+Q -GP;7;16; 6692,0
FALSE;  7;12; 4691;7.12EDY;TRUE;FALSE;-Q +GP;7;12; 4714,0
FALSE;  7; 3; 8646;7.3EQY;TRUE;TRUE;+Q +GP;7;3; 6692,0
FALSE;  7; 7; 4901;7.7EDN;FALSE;FALSE;-Q -GP;7;7; 4901,0
FALSE; 16; 9; 8396;16.9EQN;FALSE;TRUE;+Q -GP;16;9; 8916,0
FALSE; 16;14; 7855;16.14EDY;TRUE;FALSE;-Q +GP;16;14; 8916,0
FALSE; 16; 6; 8649;16.6EDY;TRUE;FALSE;-Q +GP;16;6; 8916,0
FALSE; 16;10;20938;16.10EDN;FALSE;FALSE;-Q -GP;16;10;13788,0
FALSE; 16; 2;11085;16.2EDN;FALSE;FALSE;-Q -GP;16;2;11085,0
FALSE; 16; 5; 8916;16.5EDN;FALSE;FALSE;-Q -GP;16;5; 8916,0
FALSE; 16;13;13788;16.13EQY;TRUE;TRUE;+Q +GP;16;13;13788,0
FALSE; 16; 7;13915;16.7EQY;TRUE;TRUE;+Q +GP;16;7;13788,0
FALSE; 16; 3;12035;16.3EDN;FALSE;FALSE;-Q -GP;16;3;12035,0
FALSE; 16;12; 9219;16.12EQN;FALSE;TRUE;+Q -GP;16;12; 9219,0
FALSE; 16;16;12501;16.16EDY;TRUE;FALSE;-Q +GP;16;16;12501,0
FALSE; 16; 4;10136;16.4EDY;TRUE;FALSE;-Q +GP;16;4;10136,0
FALSE; 16;11;13704;16.11EQY;TRUE;TRUE;+Q +GP;16;11;13704,0
FALSE; 16;15; 9622;16.15EQN;FALSE;TRUE;+Q -GP;16;15; 9622,0
FALSE; 16; 8;19305;16.8EQY;TRUE;TRUE;+Q +GP;16;8;13788,0
FALSE; 16; 1;13231;16.1EQN;FALSE;TRUE;+Q -GP;16;1;13231,0
FALSE;  6; 6;15375;6.6EDN;FALSE;FALSE;-Q -GP;6;6;14311,0
FALSE;  6; 2;13125;6.2EDY;TRUE;FALSE;-Q +GP;6;2;13125,0
FALSE;  6;13;13614;6.13EQN;FALSE;TRUE;+Q -GP;6;13;13614,0
FALSE;  6; 9;20322;6.9EQY;TRUE;TRUE;+Q +GP;6;9;14311,0
FALSE;  6; 3; 6425;6.3EDY;TRUE;FALSE;-Q +GP;6;3; 9715,4
FALSE;  6; 7;  269;6.7EQN;FALSE;TRUE;+Q -GP;6;7; 9715,4
FALSE;  6;10;12659;6.10EDY;TRUE;FALSE;-Q +GP;6;10;12659,0
FALSE;  6;14; 8249;6.14EDN;FALSE;FALSE;-Q -GP;6;14; 9715,4
FALSE;  6; 5;10082;6.5EDY;TRUE;FALSE;-Q +GP;6;5;10082,0
FALSE;  6; 4;13109;6.4EDN;FALSE;FALSE;-Q -GP;6;4;13109,0
FALSE;  6;11;14045;6.11EQN;FALSE;TRUE;+Q -GP;6;11;14045,0
FALSE;  6;12;15461;6.12EQY;TRUE;TRUE;+Q +GP;6;12;14311,0
FALSE;  6;16;13118;6.16EDN;FALSE;FALSE;-Q -GP;6;16;13118,0
FALSE;  6; 8;10568;6.8EQN;FALSE;TRUE;+Q -GP;6;8;10568,0
FALSE;  6; 1;13801;6.1EQY;TRUE;TRUE;+Q +GP;6;1;13801,0
FALSE; 17; 4; 2819;17.4EQY;TRUE;TRUE;+Q +GP;17;4; 2819,0
FALSE; 17;10; 9566;17.10EQN;FALSE;TRUE;+Q -GP;17;10; 8190,0
FALSE; 17;14; 3738;17.14EQY;TRUE;TRUE;+Q +GP;17;14; 3738,0
FALSE; 17; 1; 7229;17.1EDN;FALSE;FALSE;-Q -GP;17;1; 7229,0
FALSE; 17; 8; 8190;17.8EDY;TRUE;FALSE;-Q +GP;17;8; 8190,0
FALSE; 17;13; 5424;17.13EDY;TRUE;FALSE;-Q +GP;17;13; 5424,0
FALSE; 17;16; 7770;17.16EQY;TRUE;TRUE;+Q +GP;17;16; 7770,0
FALSE; 17;12; 2178;17.12EDN;FALSE;FALSE;-Q -GP;17;12; 2819,0
FALSE; 17; 2; 3376;17.2EQN;FALSE;TRUE;+Q -GP;17;2; 3376,0
FALSE; 17; 6; 5908;17.6EQY;TRUE;TRUE;+Q +GP;17;6; 5908,0
FALSE; 17; 9; 3431;17.9EDN;FALSE;FALSE;-Q -GP;17;9; 3431,0
FALSE; 17; 7; 9599;17.7EDY;TRUE;FALSE;-Q +GP;17;7; 8190,0
FALSE; 17; 3; 5610;17.3EQN;FALSE;TRUE;+Q -GP;17;3; 5610,0
FALSE; 17; 5; 8908;17.5EQN;FALSE;TRUE;+Q -GP;17;5; 8190,0
FALSE; 17;15; 2699;17.15EDN;FALSE;FALSE;-Q -GP;17;15; 2819,0
FALSE; 17;11; 2429;17.11EDY;TRUE;FALSE;-Q +GP;17;11; 2819,0
FALSE;  1; 3; 3523;1.3EQN;FALSE;TRUE;+Q -GP;1;3; 2099,0
FALSE;  1; 7; 1905;1.7EDY;TRUE;FALSE;-Q +GP;1;7; 1905,0
FALSE;  1;15; 1749;1.15EDN;FALSE;FALSE;-Q -GP;1;15; 1749,0
FALSE;  1;11; 1869;1.11EDY;TRUE;FALSE;-Q +GP;1;11; 1869,0
FALSE;  1; 5; 1672;1.5EQN;FALSE;TRUE;+Q -GP;1;5; 1672,0
FALSE;  1; 6; 1752;1.6EQY;TRUE;TRUE;+Q +GP;1;6; 1752,0
FALSE;  1; 2; 2059;1.2EQN;FALSE;TRUE;+Q -GP;1;2; 2059,0
FALSE;  1;12; 2099;1.12EDN;FALSE;FALSE;-Q -GP;1;12; 2099,0
FALSE;  1;16; 1442;1.16EQY;TRUE;TRUE;+Q +GP;1;16; 1620,0
FALSE;  1; 9; 1560;1.9EDN;FALSE;FALSE;-Q -GP;1;9; 1620,0
FALSE;  1;13; 2089;1.13EDY;TRUE;FALSE;-Q +GP;1;13; 2089,0
FALSE;  1; 8; 1620;1.8EDY;TRUE;FALSE;-Q +GP;1;8; 1620,0
FALSE;  1; 1; 1611;1.1EDN;FALSE;FALSE;-Q -GP;1;1; 1620,0
FALSE;  1; 4; 3025;1.4EQY;TRUE;TRUE;+Q +GP;1;4; 2099,0
FALSE;  1;10; 2049;1.10EQN;FALSE;TRUE;+Q -GP;1;10; 2049,0
FALSE;  1;14; 3054;1.14EQY;TRUE;TRUE;+Q +GP;1;14; 2099,0
FALSE; 10; 1; 8978;10.1EQY;TRUE;TRUE;+Q +GP;10;1; 8978,0
FALSE; 10; 8; 6939;10.8EQN;FALSE;TRUE;+Q -GP;10;8; 8229,0
FALSE; 10;16; 9729;10.16EDN;FALSE;FALSE;-Q -GP;10;16; 9729,0
FALSE; 10;12; 9559;10.12EQY;TRUE;TRUE;+Q +GP;10;12; 9559,0
FALSE; 10; 4; 9689;10.4EDN;FALSE;FALSE;-Q -GP;10;4; 9689,0
FALSE; 10;15;10382;10.15EQY;TRUE;TRUE;+Q +GP;10;15; 9729,0
FALSE; 10;11; 8229;10.11EQN;FALSE;TRUE;+Q -GP;10;11; 8229,0
FALSE; 10; 7;10532;10.7EQN;FALSE;TRUE;+Q -GP;10;7; 9729,0
FALSE; 10; 3; 8055;10.3EDY;TRUE;FALSE;-Q +GP;10;3; 8229,0
FALSE; 10; 5;10444;10.5EDY;TRUE;FALSE;-Q +GP;10;5; 9729,0
FALSE; 10;10; 9703;10.10EDY;TRUE;FALSE;-Q +GP;10;10; 9703,0
FALSE; 10;14; 8173;10.14EDN;FALSE;FALSE;-Q -GP;10;14; 8229,0
FALSE; 10;13; 9326;10.13EQN;FALSE;TRUE;+Q -GP;10;13; 9326,0
FALSE; 10; 2; 9399;10.2EDY;TRUE;FALSE;-Q +GP;10;2; 9399,0
FALSE; 10; 6; 8429;10.6EDN;FALSE;FALSE;-Q -GP;10;6; 8429,0
FALSE; 10; 9; 9689;10.9EQY;TRUE;TRUE;+Q +GP;10;9; 9689,0
FALSE; 19; 8; 1446;19.8EDN;FALSE;FALSE;-Q -GP;19;8; 9682,0
FALSE; 19; 1;23056;19.1EDY;TRUE;FALSE;-Q +GP;19;1;23056,0
FALSE; 19;10;35792;19.10EQY;TRUE;TRUE;+Q +GP;19;10;23056,0
FALSE; 19;14;15868;19.14EQN;FALSE;TRUE;+Q -GP;19;14;15868,0
FALSE; 19; 4;23415;19.4EQN;FALSE;TRUE;+Q -GP;19;4;23056,0
FALSE; 19;13;13222;19.13EDN;FALSE;FALSE;-Q -GP;19;13;13222,0
FALSE; 19;16;17808;19.16EQN;FALSE;TRUE;+Q -GP;19;16;17808,0
FALSE; 19;12; 7972;19.12EDY;TRUE;FALSE;-Q +GP;19;12; 9682,0
FALSE; 19; 7;14688;19.7EDN;FALSE;FALSE;-Q -GP;19;7;14688,0
FALSE; 19; 3;13932;19.3EQY;TRUE;TRUE;+Q +GP;19;3;13932,0
FALSE; 19; 5;31555;19.5EQY;TRUE;TRUE;+Q +GP;19;5;23056,0
FALSE; 19; 6; 9682;19.6EQN;FALSE;TRUE;+Q -GP;19;6; 9682,0
FALSE; 19; 2;17578;19.2EQY;TRUE;TRUE;+Q +GP;19;2;17578,0
FALSE; 19; 9;19566;19.9EDY;TRUE;FALSE;-Q +GP;19;9;19566,0
FALSE; 19;15;11545;19.15EDY;TRUE;FALSE;-Q +GP;19;15;11545,0
FALSE; 19;11; 2672;19.11EDN;FALSE;FALSE;-Q -GP;19;11; 9682,0
FALSE;  8; 3; 7558;8.3EDN;FALSE;FALSE;-Q -GP;8;3; 7192,6
FALSE;  8; 7; 3839;8.7EQY;TRUE;TRUE;+Q +GP;8;7; 3839,0
FALSE;  8; 2; 2843;8.2EDN;FALSE;FALSE;-Q -GP;8;2; 2868,2
FALSE;  8; 6; 3105;8.6EDY;TRUE;FALSE;-Q +GP;8;6; 3105,0
FALSE;  8;10; 2520;8.10EDN;FALSE;FALSE;-Q -GP;8;10; 2868,2
FALSE;  8;14; 2969;8.14EDY;TRUE;FALSE;-Q +GP;8;14; 2969,0
FALSE;  8; 9; 4010;8.9EQN;FALSE;TRUE;+Q -GP;8;9; 4010,0
FALSE;  8; 8; 3209;8.8EQY;TRUE;TRUE;+Q +GP;8;8; 3209,0
FALSE;  8;15; 7305;8.15EQN;FALSE;TRUE;+Q -GP;8;15; 7192,6
FALSE;  8;12; 1920;8.12EQN;FALSE;TRUE;+Q -GP;8;12; 2868,2
FALSE;  8;16; 6743;8.16EDY;TRUE;FALSE;-Q +GP;8;16; 6743,0
FALSE;  8; 4; 7896;8.4EDY;TRUE;FALSE;-Q +GP;8;4; 7192,6
FALSE; 21;10; 4439;21.10EQN;FALSE;TRUE;+Q -GP;21;10; 4439,0
FALSE; 21;14; 5668;21.14EQY;TRUE;TRUE;+Q +GP;21;14; 5668,0
FALSE; 21; 6; 6478;21.6EQY;TRUE;TRUE;+Q +GP;21;6; 6478,0
FALSE; 21; 2; 3460;21.2EQN;FALSE;TRUE;+Q -GP;21;2; 3460,0
FALSE; 21; 9; 4558;21.9EDN;FALSE;FALSE;-Q -GP;21;9; 4558,0
FALSE; 21; 3; 5838;21.3EQN;FALSE;TRUE;+Q -GP;21;3; 5838,0
FALSE; 21; 7; 7855;21.7EDY;TRUE;FALSE;-Q +GP;21;7; 7855,0
FALSE; 21; 5; 8019;21.5EQN;FALSE;TRUE;+Q -GP;21;5; 7855,0
FALSE; 21;13;  536;21.13EDY;TRUE;FALSE;-Q +GP;21;13; 3460,0
FALSE; 21; 4; 3809;21.4EQY;TRUE;TRUE;+Q +GP;21;4; 3809,0
FALSE; 21;12; 4541;21.12EDN;FALSE;FALSE;-Q -GP;21;12; 4541,0
FALSE; 21;16; 8109;21.16EQY;TRUE;TRUE;+Q +GP;21;16; 7855,0
FALSE; 21; 8; 1736;21.8EDY;TRUE;FALSE;-Q +GP;21;8; 3460,0
FALSE; 21; 1; 7855;21.1EDN;FALSE;FALSE;-Q -GP;21;1; 7855,0
FALSE; 21;15;  321;21.15EDN;FALSE;FALSE;-Q -GP;21;15; 3460,0
FALSE; 21;11; 4974;21.11EDY;TRUE;FALSE;-Q +GP;21;11; 4974,0
FALSE;212; 3; 6949;212.3EDN;FALSE;FALSE;-Q -GP;212;3; 6949,0
FALSE;212; 7;10829;212.7EQY;TRUE;TRUE;+Q +GP;212;7; 7378,0
FALSE;212;13; 7919;212.13EQY;TRUE;TRUE;+Q +GP;212;13; 7378,0
FALSE;212; 5; 6009;212.5EDN;FALSE;FALSE;-Q -GP;212;5; 6009,0
FALSE;212; 2; 4941;212.2EDN;FALSE;FALSE;-Q -GP;212;2; 4941,0
