UID,SID,IID,Reading,Condition_GP,Condition_Q,REC_CLEAN,REC,XY,FIRST,V,OBJ,PP1,STRONG,WEAK,STRUG,STRUG_START,QI
1-1-1,1,1,1,FALSE,FALSE,1EDN,1.1EDN_X,X,1X,NO,YES,NO,OBJ,NONE,NO,,NO
1-1-2,1,1,2,FALSE,FALSE,1EDN,1.1EDN_Y,Y,1X,YES,YES,YES,OBJ,V,NO,,NO
1-10-1,1,10,1,FALSE,TRUE,10EQN,1.10EQN_X,X,1X,NO,NO,YES,PP1,NONE,NO,,YES
1-10-2,1,10,2,FALSE,TRUE,10EQN,1.10EQN_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO
1-11-1,1,11,1,TRUE,FALSE,11EDY,1.11EDY_X,X,1X,NO,YES,YES,OBJ,PP1,NO,,NO
1-11-2,1,11,2,TRUE,FALSE,11EDY,1.11EDY_Y,Y,1X,NO,YES,YES,NONE,NONE,YES,,NO
1-12-1,1,12,1,FALSE,FALSE,12EDN,1.12EDN_X,X,1X,NO,YES,YES,NONE,NONE,NO,,NO
1-12-2,1,12,2,FALSE,FALSE,12EDN,1.12EDN_Y,Y,1X,NO,YES,YES,PP1,OBJ,NO,,NO
1-13-1,1,13,1,TRUE,FALSE,13EDY,1.13EDY_X,X,1X,NO,YES,YES,OBJ,PP1,YES,PP2,NO
1-13-2,1,13,2,TRUE,FALSE,13EDY,1.13EDY_Y,Y,1X,YES,YES,YES,PP1,V,NO,,NO
1-14-1,1,14,1,TRUE,TRUE,14EQY,1.14EQY_X,X,1X,NO,YES,YES,OBJ,PP1,NO,,NO
1-14-2,1,14,2,TRUE,TRUE,14EQY,1.14EQY_Y,Y,1X,NO,YES,YES,PP1,OBJ,NO,,NO
1-15-1,1,15,1,FALSE,FALSE,15EDN,1.15EDN_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO
1-15-2,1,15,2,FALSE,FALSE,15EDN,1.15EDN_Y,Y,1X,NO,YES,YES,OBJ,PP1,NO,,NO
1-16-1,1,16,1,TRUE,TRUE,16EQY,1.16EQY_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,YES
1-16-2,1,16,2,TRUE,TRUE,16EQY,1.16EQY_Y,Y,1X,NO,YES,YES,NONE,NONE,NO,,NO
1-2-1,1,2,1,FALSE,TRUE,2EQN,1.2EQN_X,X,1X,NO,YES,YES,OBJ,PP1,YES,PP2,YES
1-2-2,1,2,2,FALSE,TRUE,2EQN,1.2EQN_Y,Y,1X,NO,YES,YES,OBJ,PP1,NO,,NO
1-3-1,1,3,1,FALSE,TRUE,3EQN,1.3EQN_X,X,1X,YES,YES,YES,OBJ,V,NO,,NO
1-3-2,1,3,2,FALSE,TRUE,3EQN,1.3EQN_Y,Y,1X,NO,YES,YES,OBJ,PP1,NO,,NO
1-4-1,1,4,1,TRUE,TRUE,4EQY,1.4EQY_X,X,1X,NO,YES,YES,PP1,OBJ,YES,START,NO
1-4-2,1,4,2,TRUE,TRUE,4EQY,1.4EQY_Y,Y,1X,NO,YES,YES,NONE,NONE,NO,,NO
1-5-1,1,5,1,FALSE,TRUE,5EQN,1.5EQN_X,X,1X,NO,YES,NO,OBJ,NONE,NO,,NO
1-5-2,1,5,2,FALSE,TRUE,5EQN,1.5EQN_Y,Y,1X,NO,YES,NO,OBJ,NONE,NO,,NO
1-6-1,1,6,1,TRUE,TRUE,6EQY,1.6EQY_X,X,1X,NO,YES,YES,OBJ,PP1,YES,PP1,NO
1-6-2,1,6,2,TRUE,TRUE,6EQY,1.6EQY_Y,Y,1X,NO,YES,YES,PP1,OBJ,YES,PP1,NO
1-7-1,1,7,1,TRUE,FALSE,7EDY,1.7EDY_X,X,1X,NO,YES,YES,PP1,OBJ,YES,PP2,NO
1-7-2,1,7,2,TRUE,FALSE,7EDY,1.7EDY_Y,Y,1X,NO,YES,YES,PP1,OBJ,NO,,NO
1-8-1,1,8,1,TRUE,FALSE,8EDY,1.8EDY_X,X,1X,NO,NO,YES,PP1,NONE,YES,PP1,NO
1-8-2,1,8,2,TRUE,FALSE,8EDY,1.8EDY_Y,Y,1X,NO,YES,YES,NONE,NONE,NO,,NO
1-9-1,1,9,1,FALSE,FALSE,9EDN,1.9EDN_X,X,1X,YES,YES,YES,PP1,V,YES,OBJ,NO
1-9-2,1,9,2,FALSE,FALSE,9EDN,1.9EDN_Y,Y,1X,NO,YES,YES,OBJ,PP1,NO,,NO
10-1-1,10,1,1,TRUE,TRUE,1EQY,1EQY,X,1X,NO,YES,YES,OBJ,PP1,YES,PP2,YES
10-1-2,10,1,2,TRUE,TRUE,1EQY,1EQY,Y,1X,NO,YES,YES,PP1,OBJ,NO,,YES
10-10-1,10,10,1,TRUE,FALSE,10EDY,10EDY,X,1X,YES,NO,YES,PP1,V,NO,,NO
10-10-2,10,10,2,TRUE,FALSE,10EDY,10EDY,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO
10-11-1,10,11,1,FALSE,TRUE,11EQN,11EQN,X,1X,NO,YES,YES,PP1,OBJ,NO,,YES
10-11-2,10,11,2,FALSE,TRUE,11EQN,11EQN,Y,1X,NO,YES,NO,OBJ,NONE,NO,,YES
10-12-1,10,12,1,TRUE,TRUE,12EQY,12EQY,X,1X,YES,NO,YES,PP1,V,NO,,YES
10-12-2,10,12,2,TRUE,TRUE,12EQY,12EQY,Y,1X,YES,NO,YES,PP1,V,NO,,YES
10-13-1,10,13,1,FALSE,TRUE,13EQN,13EQN,X,1X,NO,YES,NO,OBJ,NONE,NO,,YES
10-13-2,10,13,2,FALSE,TRUE,13EQN,13EQN,Y,1X,NO,YES,NO,OBJ,NONE,NO,,YES
10-14-1,10,14,1,FALSE,FALSE,14EDN,14EDN,X,1X,NO,YES,NO,OBJ,NONE,NO,,NO
10-14-2,10,14,2,FALSE,FALSE,14EDN,14EDN,Y,1X,NO,YES,YES,OBJ,PP1,NO,,NO
10-15-1,10,15,1,TRUE,TRUE,15EQY,15EQY,X,1X,NO,YES,YES,PP1,OBJ,NO,,YES
10-15-2,10,15,2,TRUE,TRUE,15EQY,15EQY,Y,1X,NO,YES,YES,PP1,OBJ,NO,,YES
10-16-1,10,16,1,FALSE,FALSE,16EDN,16EDN,X,1X,NO,YES,YES,NONE,NONE,NO,,NO
10-16-2,10,16,2,FALSE,FALSE,16EDN,16EDN,Y,1X,NO,YES,YES,OBJ,PP1,NO,,NO
10-2-1,10,2,1,TRUE,FALSE,2EDY,2EDY,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO
10-2-2,10,2,2,TRUE,FALSE,2EDY,2EDY,Y,1X,NO,YES,YES,PP1,OBJ,NO,,NO
10-3-1,10,3,1,TRUE,FALSE,3EDY,3EDY,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO
10-3-2,10,3,2,TRUE,FALSE,3EDY,3EDY,Y,1X,NO,YES,YES,OBJ,PP1,NO,,NO
10-4-1,10,4,1,FALSE,FALSE,4EDN,4EDN,X,1X,NO,YES,NO,OBJ,NONE,NO,,NO
10-4-2,10,4,2,FALSE,FALSE,4EDN,4EDN,Y,1X,NO,YES,YES,PP1,OBJ,NO,,NO
10-5-1,10,5,1,TRUE,FALSE,5EDY,5EDY,X,1X,NO,YES,YES,OBJ,PP1,NO,,NO
10-5-2,10,5,2,TRUE,FALSE,5EDY,5EDY,Y,1X,NO,YES,YES,PP1,OBJ,NO,,NO
10-6-1,10,6,1,FALSE,FALSE,6EDN,6EDN,X,1X,NO,NO,YES,PP1,NONE,NO,,NO
10-6-2,10,6,2,FALSE,FALSE,6EDN,6EDN,Y,1X,NO,YES,YES,OBJ,PP1,NO,,NO
10-7-1,10,7,1,FALSE,TRUE,7EQN,7EQN,X,1X,NO,YES,YES,OBJ,PP1,NO,,YES
10-7-2,10,7,2,FALSE,TRUE,7EQN,7EQN,Y,1X,NO,YES,YES,PP1,OBJ,NO,,YES
10-8-1,10,8,1,FALSE,TRUE,8EQN,8EQN,X,1X,NO,YES,YES,OBJ,PP1,NO,,YES
