Filename,Leading,Trailing,Length,isFiller,Condition_Q,Condition_GP,Participant,Item,Utterance length,Reading
210.37FDN_r2.wav,4590,600.62,9750.62,TRUE,FALSE,FALSE,210,37,4560,2
210.40FDN_r1.wav,570,1605.75,5895.75,TRUE,FALSE,FALSE,210,40,3720,1
210.27FQY_r2.wav,8460,2476.25,15646.25,TRUE,TRUE,TRUE,210,27,4710,2
210.9EQY_r2.wav,6090,341.12,11111.12,FALSE,TRUE,TRUE,210,9,4680,2
210.37FDN_r1.wav,450,1022,5102,TRUE,FALSE,FALSE,210,37,3630,1
210.40FDN_r2.wav,1230,383.5,8843.5,TRUE,FALSE,FALSE,210,40,7230,2
210.27FQY_r1.wav,840,1182.12,5442.12,TRUE,TRUE,TRUE,210,27,3420,1
210.9EQY_r1.wav,930,2582.88,7142.88,FALSE,TRUE,TRUE,210,9,3630,1
210.2EDY_r1.wav,780,965.5,5555.5,FALSE,FALSE,TRUE,210,2,3810,1
210.10EDY_r1.wav,690,195.25,4875.25,FALSE,FALSE,TRUE,210,10,3990,1
210.6EDN_r1.wav,930,138.38,4308.38,FALSE,FALSE,FALSE,210,6,3240,1
210.14EDN_r1.wav,1560,745.38,5215.38,FALSE,FALSE,FALSE,210,14,2910,1
210.19FQY_r1.wav,1170,2843.12,7823.12,TRUE,TRUE,TRUE,210,19,3810,1
210.46FDN_r1.wav,1050,808.88,5668.88,TRUE,FALSE,FALSE,210,46,3810,1
210.21FQY_r2.wav,3990,713.5,8843.5,TRUE,TRUE,TRUE,210,21,4140,2
210.2EDY_r2.wav,6090,194.25,10544.25,FALSE,FALSE,TRUE,210,2,4260,2
210.10EDY_r2.wav,5130,960.62,9750.62,FALSE,FALSE,TRUE,210,10,3660,2
210.6EDN_r2.wav,1680,356.25,7256.25,FALSE,FALSE,FALSE,210,6,5220,2
210.14EDN_r2.wav,5940,1214.25,10544.25,FALSE,FALSE,FALSE,210,14,3390,2
210.19FQY_r2.wav,5340,990.62,9750.62,TRUE,TRUE,TRUE,210,19,3420,2
210.46FDN_r2.wav,5970,758,11678,TRUE,FALSE,FALSE,210,46,4950,2
210.21FQY_r1.wav,930,1222.38,5782.38,TRUE,TRUE,TRUE,210,21,3630,1
210.32FDY_r2.wav,4620,736.88,8956.88,TRUE,FALSE,TRUE,210,32,3600,2
210.36FQN_r2.wav,4410,396.75,8616.75,TRUE,TRUE,FALSE,210,36,3810,2
210.26FQY_r2.wav,5280,988.62,13378.62,TRUE,TRUE,TRUE,210,26,7110,2
210.41FDN_r1.wav,570,2959.62,7369.62,TRUE,FALSE,FALSE,210,41,3840,1
210.5EDY_r1.wav,870,1479.12,6009.12,FALSE,FALSE,TRUE,210,5,3660,1
210.13EQN_r1.wav,1260,245.12,4535.12,FALSE,TRUE,FALSE,210,13,3030,1
210.32FDY_r1.wav,840,8.25,3968.25,TRUE,FALSE,TRUE,210,32,3120,1
210.36FQN_r1.wav,690,131.75,4421.75,TRUE,TRUE,FALSE,210,36,3600,1
210.26FQY_r1.wav,1080,1659.5,7029.5,TRUE,TRUE,TRUE,210,26,4290,1
210.41FDN_r2.wav,5460,153.62,9183.62,TRUE,FALSE,FALSE,210,41,3570,2
210.13EQN_r2.wav,4830,1010.38,9410.38,FALSE,TRUE,FALSE,210,13,3570,2
