Filename,Leading,Trailing,Length,isFiller,Condition_Q,Condition_GP,Participant,Item,Utterance length,Reading
210.37FDN_r2.wav,4590.0,600.62,9750.62,True,False,False,210,37,4560.0,2
210.40FDN_r1.wav,570.0,1605.75,5895.75,True,False,False,210,40,3720.0,1
210.27FQY_r2.wav,8460.0,2476.25,15646.25,True,True,True,210,27,4710.0,2
210.9EQY_r2.wav,6090.0,341.12,11111.12,False,True,True,210,9,4680.0,2
210.37FDN_r1.wav,450.0,1022.0,5102.0,True,False,False,210,37,3630.0,1
210.40FDN_r2.wav,1230.0,383.5,8843.5,True,False,False,210,40,7230.0,2
210.27FQY_r1.wav,840.0,1182.12,5442.12,True,True,True,210,27,3420.0,1
210.9EQY_r1.wav,930.0,2582.88,7142.88,False,True,True,210,9,3630.0,1
210.2EDY_r1.wav,780.0,965.5,5555.5,False,False,True,210,2,3810.0,1
210.10EDY_r1.wav,690.0,195.25,4875.25,False,False,True,210,10,3990.0,1
210.6EDN_r1.wav,930.0,138.38,4308.38,False,False,False,210,6,3240.0,1
210.14EDN_r1.wav,1560.0,745.38,5215.38,False,False,False,210,14,2910.0,1
210.19FQY_r1.wav,1170.0,2843.12,7823.12,True,True,True,210,19,3810.0,1
210.46FDN_r1.wav,1050.0,808.88,5668.88,True,False,False,210,46,3810.0,1
210.21FQY_r2.wav,3990.0,713.5,8843.5,True,True,True,210,21,4140.0,2
210.2EDY_r2.wav,6090.0,194.25,10544.25,False,False,True,210,2,4260.0,2
210.10EDY_r2.wav,5130.0,960.62,9750.62,False,False,True,210,10,3660.0,2
210.6EDN_r2.wav,1680.0,356.25,7256.25,False,False,False,210,6,5220.0,2
210.14EDN_r2.wav,5940.0,1214.25,10544.25,False,False,False,210,14,3390.0,2
210.19FQY_r2.wav,5340.0,990.62,9750.62,True,True,True,210,19,3420.0,2
210.46FDN_r2.wav,5970.0,758.0,11678.0,True,False,False,210,46,4950.0,2
210.21FQY_r1.wav,930.0,1222.38,5782.38,True,True,True,210,21,3630.0,1
210.32FDY_r2.wav,4620.0,736.88,8956.88,True,False,True,210,32,3600.0,2
210.36FQN_r2.wav,4410.0,396.75,8616.75,True,True,False,210,36,3810.0,2
210.26FQY_r2.wav,5280.0,988.62,13378.62,True,True,True,210,26,7110.0,2
210.41FDN_r1.wav,570.0,2959.62,7369.62,True,False,False,210,41,3840.0,1
210.5EDY_r1.wav,870.0,1479.12,6009.12,False,False,True,210,5,3660.0,1
210.13EQN_r1.wav,1260.0,245.12,4535.12,False,True,False,210,13,3030.0,1
210.32FDY_r1.wav,840.0,8.25,3968.25,True,False,True,210,32,3120.0,1
210.36FQN_r1.wav,690.0,131.75,4421.75,True,True,False,210,36,3600.0,1
210.26FQY_r1.wav,1080.0,1659.5,7029.5,True,True,True,210,26,4290.0,1
210.41FDN_r2.wav,5460.0,153.62,9183.62,True,False,False,210,41,3570.0,2
210.13EQN_r2.wav,4830.0,1010.38,9410.38,False,True,False,210,13,3570.0,2
210.5EDY_r2.wav,5370.0,110.38,9410.38,False,False,True,210,5,3930.0,2
210.18FQY_r1.wav,990.0,622.38,5782.38,True,True,True,210,18,4170.0,1
210.7EQN_r1.wav,840.0,1369.25,6349.25,False,True,False,210,7,4140.0,1
210.3EDY_r1.wav,1320.0,602.5,6122.5,False,False,True,210,3,4200.0,1
210.20FQY_r2.wav,5610.0,770.88,10430.88,True,True,True,210,20,4050.0,2
210.47FDN_r1.wav,660.0,311.75,4421.75,True,False,False,210,47,3450.0,1
210.18FQY_r2.wav,4860.0,1177.62,10657.62,True,True,True,210,18,4620.0,2
210.7EQN_r2.wav,6360.0,541.0,10771.0,False,True,False,210,7,3870.0,2
210.3EDY_r2.wav,4590.0,97.25,9637.25,False,False,True,210,3,4950.0,2
210.20FQY_r1.wav,780.0,828.75,5328.75,True,True,True,210,20,3720.0,1
210.47FDN_r2.wav,1590.0,1139.75,7709.75,True,False,False,210,47,4980.0,2
210.38FDN_r1.wav,1140.0,2702.88,7142.88,True,False,False,210,38,3300.0,1
210.35FDN_r2.wav,4680.0,520.25,9070.25,True,False,False,210,35,3870.0,2
210.42FDN_r1.wav,450.0,221.75,4421.75,True,False,False,210,42,3750.0,1
210.25FDY_r2.wav,1590.0,6054.0,9864.0,True,False,True,210,25,2220.0,2
210.31FDY_r2.wav,4800.0,1080.62,9750.62,True,False,True,210,31,3870.0,2
210.28FQY_r1.wav,810.0,1552.38,5782.38,True,True,True,210,28,3420.0,1
210.38FDN_r2.wav,4680.0,2077.62,10657.62,True,False,False,210,38,3900.0,2
210.35FDN_r1.wav,930.0,735.25,4875.25,True,False,False,210,35,3210.0,1
210.42FDN_r2.wav,4800.0,290.38,9410.38,True,False,False,210,42,4320.0,2
210.25FDY_r1.wav,600.0,208.5,4648.5,True,False,True,210,25,3840.0,1
210.31FDY_r1.wav,930.0,285.25,4875.25,True,False,True,210,31,3660.0,1
210.28FQY_r2.wav,3420.0,2580.62,9750.62,True,True,True,210,28,3750.0,2
210.33FDN_r2.wav,7350.0,27.88,11337.88,True,False,False,210,33,3960.0,2
210.23FQY_r2.wav,3990.0,1230.12,8730.12,True,True,True,210,23,3510.0,2
210.44FQN_r1.wav,660.0,25.0,4195.0,True,True,False,210,44,3510.0,1
210.4EDN_r1.wav,990.0,3126.38,7596.38,False,False,False,210,4,3480.0,1
210.12EQY_r1.wav,780.0,842.0,5102.0,False,True,True,210,12,3480.0,1
210.16EDN_r1.wav,600.0,421.62,4081.62,False,False,False,210,16,3060.0,1
210.33FDN_r1.wav,630.0,1292.0,5102.0,True,False,False,210,33,3180.0,1
210.23FQY_r1.wav,690.0,2079.12,6009.12,True,True,True,210,23,3240.0,1
210.44FQN_r2.wav,1020.0,4713.62,9183.62,True,True,False,210,44,3450.0,2
210.12EQY_r2.wav,1140.0,133.75,9523.75,False,True,True,210,12,8250.0,2
210.4EDN_r2.wav,4800.0,0.12,8730.12,False,False,False,210,4,3930.0,2
210.16EDN_r2.wav,5910.0,540.62,9750.62,False,False,False,210,16,3300.0,2
210.15EQY_r1.wav,900.0,1282.38,5782.38,False,True,True,210,15,3600.0,1
210.11EQN_r1.wav,960.0,2462.88,7142.88,False,True,False,210,11,3720.0,1
210.30FDY_r2.wav,4050.0,333.25,8163.25,True,False,True,210,30,3780.0,2
210.34FQN_r2.wav,4020.0,923.5,8843.5,True,True,False,210,34,3900.0,2
210.24FQY_r2.wav,4290.0,750.12,8730.12,True,True,True,210,24,3690.0,2
210.29FQY_r1.wav,1110.0,11.75,4421.75,True,True,True,210,29,3300.0,1
210.39FDN_r1.wav,720.0,478.5,4648.5,True,False,False,210,39,3450.0,1
210.43FDN_r1.wav,660.0,671.75,4421.75,True,False,False,210,43,3090.0,1
210.15EQY_r2.wav,4620.0,196.88,8956.88,False,True,True,210,15,4140.0,2
210.11EQN_r2.wav,5490.0,774.0,9864.0,False,True,False,210,11,3600.0,2
210.30FDY_r1.wav,840.0,428.62,4988.62,True,False,True,210,30,3720.0,1
210.34FQN_r1.wav,990.0,1018.88,5668.88,True,True,False,210,34,3660.0,1
210.24FQY_r1.wav,930.0,1158.75,5328.75,True,True,True,210,24,3240.0,1
210.29FQY_r2.wav,1170.0,13.38,8503.38,True,True,True,210,29,7320.0,2
210.39FDN_r2.wav,2340.0,22.75,6802.75,True,False,False,210,39,4440.0,2
210.43FDN_r2.wav,3150.0,22.75,6802.75,True,False,False,210,43,3630.0,2
210.22FQY_r2.wav,3810.0,16.5,7936.5,True,True,True,210,22,4110.0,2
210.45FQN_r1.wav,840.0,261.88,4761.88,True,True,False,210,45,3660.0,1
210.48FDN_r2.wav,4440.0,313.38,8503.38,True,False,False,210,48,3750.0,2
210.1EQY_r1.wav,900.0,385.38,5215.38,False,True,True,210,1,3930.0,1
210.17FQY_r2.wav,5130.0,547.25,9637.25,True,True,True,210,17,3960.0,2
