Filename,Leading,Trailing,RecLength
1.101P101_r1.wav,1100,700,4400
1.101P101_r2.wav,3000,1050,6900
1.102P102_r1.wav,900,1050,5200
1.102P102_r2.wav,2600,1850,8150
1.103P103_r1.wav,900,0,4750
1.103P103_r2.wav,800,1100,6300
1.104P104_r1.wav,750,5050,9400
1.104P104_r2.wav,1400,1500,5750
1.10EQN_r1.wav,950,600,4950
1.10EQN_r2.wav,1700,1950,8800
1.11EDY_r1.wav,900,0,4950
1.11EDY_r2.wav,2300,2300,7250
1.12EDN_r1.wav,950,800,5650
1.12EDN_r2.wav,3250,2000,7450
1.13EDY_r1.wav,1500,0,5300
1.13EDY_r2.wav,2050,3300,9400
1.14EQY_r1.wav,800,400,5200
1.14EQY_r2.wav,4250,1400,8500
1.15EDN_r1.wav,1000,550,4950
1.15EDN_r2.wav,700,1750,6650
1.16EQY_r1.wav,1100,550,5100
1.16EQY_r2.wav,550,0,5300
1.17FDY_r1.wav,900,1000,5200
1.17FDY_r2.wav,2800,2350,8600
1.18FDY_r1.wav,1000,550,5550
1.18FDY_r2.wav,1700,1450,7100
1.19FDY_r1.wav,950,900,5200
1.19FDY_r2.wav,1350,4050,8000
1.1EDN_r1.wav,1250,450,5750
1.1EDN_r2.wav,2250,1150,6450
1.20FDY_r1.wav,1250,400,6100
1.20FDY_r2.wav,1700,2300,8950
1.21FDY_r1.wav,1600,650,5200
1.21FDY_r2.wav,2450,1200,7250
1.22FDY_r1.wav,3050,600,5300
1.22FDY_r2.wav,3750,1650,6800
1.23FDY_r1.wav,1850,800,4950
1.23FDY_r2.wav,2700,450,5400
1.24FDY_r1.wav,1400,750,5300
1.24FDY_r2.wav,1350,2950,7450
1.25FQY_r1.wav,750,3300,6000
1.25FQY_r2.wav,700,3400,6650
1.26FDY_r1.wav,3050,300,5750
1.26FDY_r2.wav,3350,1700,6900
1.27FDY_r1.wav,1700,950,6200
1.27FDY_r2.wav,3250,3900,10050
1.28FDY_r1.wav,1000,650,5200
1.28FDY_r2.wav,900,450,6200
1.29FDY_r1.wav,1100,900,6300
1.29FDY_r2.wav,4600,3550,11100
1.2EQN_r1.wav,850,750,5300
1.2EQN_r2.wav,1550,2200,7250
1.30FQY_r1.wav,1500,600,6450
1.30FQY_r2.wav,600,1650,6800
1.31FQY_r1.wav,2600,800,5650
1.31FQY_r2.wav,1300,1350,6450
1.32FQY_r1.wav,1100,1050,5300
1.32FQY_r2.wav,5750,3750,11200
1.33FQN_r1.wav,800,1250,5400
1.33FQN_r2.wav,1800,1450,6650
1.34FDN_r1.wav,1150,500,5200
1.34FDN_r2.wav,3100,1150,7000
1.35FQN_r1.wav,2050,1600,5550
1.35FQN_r2.wav,3250,3250,8350
1.36FDN_r1.wav,1000,450,4950
1.36FDN_r2.wav,2050,0,5300
1.37FQN_r1.wav,1100,400,4600
1.37FQN_r2.wav,2450,600,5850
1.38FQN_r1.wav,900,700,5200
1.38FQN_r2.wav,7150,4150,12650
1.39FQN_r1.wav,950,650,4850
1.39FQN_r2.wav,1500,1900,6800
1.3EQN_r1.wav,800,1900,6450
1.3EQN_r2.wav,1900,3900,9500
1.40FQN_r1.wav,800,2400,7100
1.40FQN_r2.wav,1650,3200,8800
1.41FQN_r1.wav,1150,1200,5650
1.41FQN_r2.wav,1550,2300,7000
1.42FQN_r1.wav,1150,800,6100
1.42FQN_r2.wav,1850,2850,8700
1.43FQN_r1.wav,850,700,4750
1.43FQN_r2.wav,1000,2100,6550
1.44FDN_r1.wav,800,2650,6800
1.44FDN_r2.wav,1900,2100,7800
1.45FDN_r1.wav,950,0,4850
1.45FDN_r2.wav,2100,2000,7000
1.46FQN_r1.wav,3950,500,6200
1.46FQN_r2.wav,1250,1850,7000
1.47FQN_r1.wav,800,450,4750
1.47FQN_r2.wav,4600,1900,8800
1.48FQN_r1.wav,800,0,5550
1.48FQN_r2.wav,1300,1600,6550
1.4EQY_r1.wav,1500,1300,7250
1.4EQY_r2.wav,3250,1400,7250
1.5EQN_r1.wav,1450,600,4750
1.5EQN_r2.wav,2000,1200,5750
1.6EQY_r1.wav,1050,400,5400
1.6EQY_r2.wav,1650,1450,7100
1.7EDY_r1.wav,1150,450,5850
1.7EDY_r2.wav,2500,950,6100
1.8EDY_r1.wav,2050,2300,7550
1.8EDY_r2.wav,1650,2100,7350
1.9EDN_r1.wav,2200,0,6100
1.9EDN_r2.wav,3050,1750,6650
10.101P101_r1.wav,1200,2350,6900
10.101P101_r2.wav,7200,1650,12450
10.102P102_r1.wav,2350,1500,6450
10.102P102_r2.wav,7350,1750,12550
10.103P103_r1.wav,1250,1300,6200
10.103P103_r2.wav,9550,0,11100
10.104P104_r1.wav,-1,-1,-1
10.104P104_r2.wav,5550,1700,10400
10.10EDY_r1.wav,2200,1850,6450
10.10EDY_r2.wav,9450,1550,14250
10.11EQN_r1.wav,2300,3550,8000
10.11EQN_r2.wav,5950,1700,9750
10.12EQY_r1.wav,2500,1250,6300
10.12EQY_r2.wav,8900,1550,13700
10.13EQN_r1.wav,4550,850,7250
10.13EQN_r2.wav,8400,1600,12000
10.14EDN_r1.wav,1400,2200,6450
10.14EDN_r2.wav,5750,700,11300
10.15EQY_r1.wav,850,1800,6100
10.15EQY_r2.wav,10300,1800,14050
10.16EDN_r1.wav,-1,-1,-1
10.16EDN_r2.wav,10450,850,13800
10.17FQY_r1.wav,3900,1450,6800
10.17FQY_r2.wav,4750,2250,13350
10.18FQY_r1.wav,750,1150,6450
10.18FQY_r2.wav,9550,1250,13700
10.19FQY_r1.wav,1550,2100,6800
10.19FQY_r2.wav,7050,2800,12800
10.1EQY_r1.wav,850,1800,7000
10.1EQY_r2.wav,7250,3150,13150
10.20FQY_r1.wav,1250,2450,7700
10.20FQY_r2.wav,5800,950,10300
10.21FQY_r1.wav,1150,2850,6650
10.21FQY_r2.wav,6950,1900,12650
10.22FQY_r1.wav,3450,1350,6200
10.22FQY_r2.wav,9200,2150,14950
10.23FQY_r1.wav,2300,2050,6300
10.23FQY_r2.wav,9600,1900,13250
10.24FQY_r1.wav,1050,3100,6550
10.24FQY_r2.wav,7200,1550,11900
10.25FDY_r1.wav,1350,1450,6550
10.25FDY_r2.wav,6600,1000,12550
10.26FQY_r1.wav,-1,-1,-1
10.26FQY_r2.wav,8700,1500,11650
10.27FQY_r1.wav,2550,1700,6000
10.27FQY_r2.wav,6950,1500,11200
10.28FQY_r1.wav,900,1100,5300
10.28FQY_r2.wav,10750,650,13000
10.29FQY_r1.wav,1150,1200,6450
10.29FQY_r2.wav,9150,2000,13350
10.2EDY_r1.wav,950,2150,7000
10.2EDY_r2.wav,7550,1150,13700
10.30FDY_r1.wav,1250,1650,6450
10.30FDY_r2.wav,10950,3150,16550
10.31FDY_r1.wav,1050,1300,5850
10.31FDY_r2.wav,9600,1050,12200
10.32FDY_r1.wav,1600,1500,6650
10.32FDY_r2.wav,6100,2100,11100
10.33FDN_r1.wav,850,3900,6100
10.33FDN_r2.wav,8700,700,11750
10.34FQN_r1.wav,1750,3500,7900
