UID,ADDR,SID,ITEM,BSID,IID,XY,FIRST,V,OBJ,PP1,STRONG,WEAK,STRUG,STRUG_START,QI,COMMENT
19-7-1,19.7Y,19,7EQN,B7,7,Y,1X,NO,YES,YES,NONE,NONE,NO,,NO,
19-11-1,19.11Y,19,11EQN,B7,11,Y,1X,NO,YES,YES,NONE,NONE,NO,,NO,
19-7-2,19.7X,19,7EQN,B7,7,X,1X,YES,NO,YES,NONE,NONE,NO,,NO,
22-16-1,22.16Y,22,16EQY,B2,16,Y,16Y,NO,YES,YES,NONE,NONE,NO,,NO,
22-12-1,22.12Y,22,12EDN,B2,12,Y,16Y,YES,YES,YES,NONE,NONE,NO,,YES,
22-16-2,22.16X,22,16EQY,B2,16,X,16Y,NO,YES,YES,NONE,NONE,NO,,NO,
22-12-2,22.12X,22,12EDN,B2,12,X,16Y,NO,YES,YES,NONE,NONE,NO,,YES,
22-10-1,22.10Y,22,10EQN,B2,10,Y,16Y,YES,YES,YES,NONE,V,NO,,NO,
22-8-2,22.8X,22,8EDY,B2,8,X,16Y,NO,YES,YES,NONE,NONE,NO,,YES,
208-16-1,208.16Y,208,16EQN,B8,16,Y,1X,NO,YES,YES,NONE,NONE,NO,,NO,
208-4-2,208.4X,208,4EQN,B8,4,X,1X,YES,YES,YES,NONE,NONE,NO,,NO,
4-15-1,4.15Y,4,15EDY,B4,15,Y,16Y,NO,YES,YES,NONE,NONE,YES,PP2,YES,
4-3-1,4.3Y,4,3EQY,B4,3,Y,16Y,YES,YES,YES,NONE,OBJ,NO,,NO,
4-15-2,4.15X,4,15EDY,B4,15,X,16Y,NO,YES,YES,NONE,NONE,NO,,YES,
4-11-2,4.11X,4,11EDN,B4,11,X,16Y,NO,YES,YES,NONE,NONE,NO,,YES,
203-5-2,203.5X,203,5EDY,B3,5,X,1X,NO,YES,YES,NONE,NONE,NO,,YES,
203-11-1,203.11Y,203,11EQN,B3,11,Y,1X,NO,YES,YES,NONE,NONE,NO,,NO,
203-15-1,203.15Y,203,15EQY,B3,15,Y,1X,NO,YES,YES,NONE,NONE,YES,V,NO,"sort of swallows the verb? is this ""struggling""?"
203-15-2,203.15X,203,15EQY,B3,15,X,1X,NO,YES,YES,NONE,NONE,NO,,NO,
210-14-2,210.14X,210,14EQY,B6,14,X,16Y,NO,YES,YES,NONE,NONE,NO,,NO,
210-8-1,210.8Y,210,8EDY,B6,8,Y,16Y,YES,YES,YES,NONE,V,NO,,YES,
19-13-2,19.13X,19,13EQN,B7,13,X,1X,NO,YES,YES,OBJ,PP1,YES,OBJ,NO,
19-13-1,19.13Y,19,13EQN,B7,13,Y,1X,YES,YES,YES,OBJ,NONE,NO,,NO,
22-10-2,22.10X,22,10EQN,B2,10,X,16Y,YES,YES,YES,OBJ,V,NO,,NO,
22-8-1,22.8Y,22,8EDY,B2,8,Y,16Y,NO,YES,YES,OBJ,PP1,NO,,YES,
22-6-2,22.6X,22,6EQY,B2,6,X,16Y,NO,YES,YES,OBJ,PP1,NO,,NO,
22-2-2,22.2X,22,2EQN,B2,2,X,16Y,NO,YES,YES,OBJ,PP1,YES,PP1,NO,
22-6-1,22.6Y,22,6EQY,B2,6,Y,16Y,NO,YES,NO,OBJ,NONE,NO,,NO,
22-4-2,22.4X,22,4EQY,B2,4,X,16Y,YES,YES,YES,OBJ,PP1,NO,,NO,
208-6-2,208.6X,208,6EQN,B8,6,X,1X,NO,YES,YES,OBJ,PP1,NO,,NO,
208-10-2,208.10X,208,10EQY,B8,10,X,1X,YES,YES,YES,OBJ,PP1,NO,,NO,
208-14-2,208.14X,208,14EQN,B8,14,X,1X,YES,YES,YES,OBJ,NONE,YES,PP2,NO,
208-16-2,208.16X,208,16EQN,B8,16,X,1X,NO,YES,YES,OBJ,PP1,NO,,NO,
4-7-1,4.7Y,4,7EDN,B4,7,Y,16Y,YES,YES,YES,OBJ,PP1,YES,PP2,YES,
4-9-1,4.9Y,4,9EDY,B4,9,Y,16Y,YES,YES,YES,OBJ,PP1,YES,PP1,YES,
4-3-2,4.3X,4,3EQY,B4,3,X,16Y,NO,YES,YES,OBJ,PP1,NO,,NO,
203-9-2,203.9X,203,9EQY,B3,9,X,1X,YES,YES,YES,OBJ,V,NO,,NO,
203-11-2,203.11X,203,11EQN,B3,11,X,1X,NO,YES,YES,OBJ,PP1,NO,,NO,
210-16-1,210.16Y,210,16EQY,B6,16,Y,16Y,NO,YES,YES,OBJ,PP1,NO,,NO,
210-4-1,210.4Y,210,4EQY,B6,4,Y,16Y,YES,YES,YES,OBJ,V,NO,,NO,
210-16-2,210.16X,210,16EQY,B6,16,X,16Y,NO,YES,YES,OBJ,PP1,NO,,NO,
210-14-1,210.14Y,210,14EQY,B6,14,Y,16Y,YES,YES,YES,OBJ,PP1,NO,,NO,
210-6-1,210.6Y,210,6EQY,B6,6,Y,16Y,NO,YES,YES,OBJ,PP1,NO,,NO,
210-4-2,210.4X,210,4EQY,B6,4,X,16Y,YES,YES,YES,OBJ,V,NO,,NO,
9-4-1,9.4Y,9,4EDY,B1,4,Y,1X,YES,YES,YES,OBJ,PP1,NO,,NO,
9-4-2,9.4X,9,4EDY,B1,4,X,1X,YES,YES,YES,OBJ,V,NO,,NO,
9-6-1,9.6Y,9,6EDY,B1,6,Y,1X,NO,YES,YES,OBJ,PP1,NO,,YES,
9-12-2,9.12X,9,12EQN,B1,12,X,1X,YES,YES,YES,OBJ,V,NO,,NO,
17-11-1,17.11Y,17,11EQY,B5,11,Y,16Y,NO,YES,YES,OBJ,PP1,NO,,NO,
