filename,Q_condition,item,inter_reading,GP_condition,participant
1.10EQN,True,10,2550,False,1
1.11EDY,False,11,2300,True,1
1.12EDN,False,12,2800,False,1
1.13EDY,False,13,3300,True,1
1.14EQY,True,14,1800,True,1
1.15EDN,False,15,2300,False,1
1.16EQY,True,16,550,True,1
1.17FDY,False,17,3350,True,1
1.18FDY,False,18,2000,True,1
1.19FDY,False,19,4950,True,1
1.1EDN,False,1,1600,False,1
1.20FDY,False,20,2700,True,1
1.21FDY,False,21,1850,True,1
1.22FDY,False,22,2250,True,1
1.23FDY,False,23,1250,True,1
1.24FDY,False,24,3700,True,1
1.25FQY,True,25,6700,True,1
1.26FDY,False,26,2000,True,1
1.27FDY,False,27,4850,True,1
1.28FDY,False,28,1100,True,1
1.29FDY,False,29,4450,True,1
1.2EQN,True,2,2950,False,1
1.30FQY,True,30,2250,True,1
1.31FQY,True,31,2150,True,1
1.32FQY,True,32,4800,True,1
1.33FQN,True,33,2700,False,1
1.34FDN,False,34,1650,False,1
1.35FQN,True,35,4850,False,1
1.36FDN,False,36,450,False,1
1.37FQN,True,37,1000,False,1
1.38FQN,True,38,4850,False,1
1.39FQN,True,39,2550,False,1
1.3EQN,True,3,5800,False,1
1.40FQN,True,40,5600,False,1
1.41FQN,True,41,3500,False,1
1.42FQN,True,42,3650,False,1
1.43FQN,True,43,2800,False,1
1.44FDN,False,44,4750,False,1
1.45FDN,False,45,2000,False,1
1.46FQN,True,46,2350,False,1
1.47FQN,True,47,2350,False,1
1.48FQN,True,48,1600,False,1
1.4EQY,True,4,2700,True,1
1.5EQN,True,5,1800,False,1
1.6EQY,True,6,1850,True,1
1.7EDY,False,7,1400,True,1
1.8EDY,False,8,4400,True,1
1.9EDN,False,9,1750,False,1
10.10EDY,False,10,3400,True,10
10.11EQN,True,11,5250,False,10
10.12EQY,True,12,2800,True,10
10.13EQN,True,13,2450,False,10
10.14EDN,False,14,2900,False,10
10.15EQY,True,15,3600,True,10
10.16EDN,False,16,849,False,10
10.17FQY,True,17,3700,True,10
10.18FQY,True,18,2400,True,10
10.19FQY,True,19,4900,True,10
10.1EQY,True,1,4950,True,10
10.20FQY,True,20,3400,True,10
10.21FQY,True,21,4750,True,10
10.22FQY,True,22,3500,True,10
10.23FQY,True,23,3950,True,10
10.24FQY,True,24,4650,True,10
10.25FDY,False,25,2450,True,10
10.26FQY,True,26,1499,True,10
10.27FQY,True,27,3200,True,10
10.28FQY,True,28,1750,True,10
10.29FQY,True,29,3200,True,10
10.2EDY,False,2,3300,True,10
10.30FDY,False,30,4800,True,10
10.31FDY,False,31,2350,True,10
10.32FDY,False,32,3600,True,10
10.33FDN,False,33,4600,False,10
10.34FQN,True,34,5250,False,10
10.35FDN,False,35,4800,False,10
10.36FQN,True,36,5400,False,10
10.37FDN,False,37,1749,False,10
10.38FDN,False,38,5300,False,10
10.39FDN,False,39,3800,False,10
10.3EDY,False,3,4300,True,10
10.40FDN,False,40,3400,False,10
10.41FDN,False,41,5050,False,10
10.42FDN,False,42,3500,False,10
10.43FDN,False,43,4100,False,10
10.44FQN,True,44,3850,False,10
10.45FQN,True,45,4600,False,10
10.46FDN,False,46,5350,False,10
10.47FDN,False,47,3350,False,10
10.48FDN,False,48,4650,False,10
10.4EDN,False,4,-1,False,10
10.5EDY,False,5,1399,True,10
10.6EDN,False,6,3400,False,10
10.7EQN,True,7,3700,False,10
10.8EQN,True,8,4000,False,10
10.9EQY,True,9,5550,True,10
108.10EDN,False,10,-2,False,108
108.11EQY,True,11,-2,True,108
108.12EQN,True,12,-2,False,108
108.13EQY,True,13,-1,True,108
108.14EDY,False,14,-2,True,108
108.15EQN,True,15,2399,False,108
108.16EDY,False,16,-1,True,108
108.17FQY,True,17,-2,True,108
108.18FQY,True,18,0,True,108
108.19FQY,True,19,1400,True,108
108.1EQN,True,1,-2,False,108
108.20FQY,True,20,-2,True,108
108.21FQY,True,21,-2,True,108
108.22FQY,True,22,-2,True,108
108.23FQY,True,23,-2,True,108
108.24FQY,True,24,19200,True,108
108.25FDY,False,25,1350,True,108
108.26FQY,True,26,-2,True,108
108.27FQY,True,27,-2,True,108
108.28FQY,True,28,4499,True,108
108.29FQY,True,29,-2,True,108
108.2EDN,False,2,-2,False,108
108.30FDY,False,30,-2,True,108
108.31FDY,False,31,-2,True,108
108.32FDY,False,32,-2,True,108
108.33FDN,False,33,3149,False,108
108.34FQN,True,34,-2,False,108
108.35FDN,False,35,-2,False,108
108.36FQN,True,36,0,False,108
108.37FDN,False,37,-2,False,108
108.38FDN,False,38,-2,False,108
108.39FDN,False,39,-2,False,108
108.3EDN,False,3,-2,False,108
108.40FDN,False,40,-2,False,108
108.41FDN,False,41,-2,False,108
108.42FDN,False,42,-2,False,108
108.43FDN,False,43,0,False,108
108.44FQN,True,44,-2,False,108
108.45FQN,True,45,2900,False,108
108.46FDN,False,46,2499,False,108
108.47FDN,False,47,400,False,108
108.48FDN,False,48,-2,False,108
108.4EDY,False,4,-1,True,108
108.5EDN,False,5,500,False,108
108.6EDY,False,6,1450,True,108
108.7EQY,True,7,-2,True,108
108.8EQY,True,8,-2,True,108
108.9EQN,True,9,-2,False,108
11.10EQY,True,10,0,True,11
11.11EDN,False,11,1550,False,11
11.15EDY,False,15,1049,True,11
11.16EQN,True,16,5200,False,11
11.17FDY,False,17,849,True,11
11.18FDY,False,18,3450,True,11
11.19FDY,False,19,3800,True,11
11.1EDY,False,1,12650,True,11
11.21FDY,False,21,2699,True,11
11.23FDY,False,23,3350,True,11
11.24FDY,False,24,2149,True,11
11.25FQY,True,25,14250,True,11
11.27FDY,False,27,1700,True,11
11.28FDY,False,28,2249,True,11
11.29FDY,False,29,8050,True,11
11.30FQY,True,30,8700,True,11
11.31FQY,True,31,7550,True,11
11.32FQY,True,32,9850,True,11
11.34FDN,False,34,7600,False,11
11.35FQN,True,35,1299,False,11
11.36FDN,False,36,4500,False,11
11.37FQN,True,37,2900,False,11
11.39FQN,True,39,4900,False,11
11.3EQY,True,3,7250,True,11
11.41FQN,True,41,1600,False,11
11.42FQN,True,42,4850,False,11
11.43FQN,True,43,8199,False,11
11.44FDN,False,44,-1,False,11
11.45FDN,False,45,2949,False,11
11.47FQN,True,47,5350,False,11
11.48FQN,True,48,1849,False,11
11.4EQN,True,4,1349,False,11
11.5EQY,True,5,7400,True,11
