Filename,Leading,Trailing,RecLength,item,participant,Q_condition,GP_condition,Filler
1.10EQN_r1.wav,950,600,4950,10,1,True,False,False
1.10EQN_r2.wav,1700,1950,8800,10,1,True,False,False
1.11EDY_r1.wav,900,0,4950,11,1,False,True,False
1.11EDY_r2.wav,2300,2300,7250,11,1,False,True,False
1.12EDN_r1.wav,950,800,5650,12,1,False,False,False
1.12EDN_r2.wav,3250,2000,7450,12,1,False,False,False
1.13EDY_r1.wav,1500,0,5300,13,1,False,True,False
1.13EDY_r2.wav,2050,3300,9400,13,1,False,True,False
1.14EQY_r1.wav,800,400,5200,14,1,True,True,False
1.14EQY_r2.wav,4250,1400,8500,14,1,True,True,False
1.15EDN_r1.wav,1000,550,4950,15,1,False,False,False
1.15EDN_r2.wav,700,1750,6650,15,1,False,False,False
1.16EQY_r1.wav,1100,550,5100,16,1,True,True,False
1.16EQY_r2.wav,550,0,5300,16,1,True,True,False
1.17FDY_r1.wav,900,1000,5200,17,1,False,True,True
1.17FDY_r2.wav,2800,2350,8600,17,1,False,True,True
1.18FDY_r1.wav,1000,550,5550,18,1,False,True,True
1.18FDY_r2.wav,1700,1450,7100,18,1,False,True,True
1.19FDY_r1.wav,950,900,5200,19,1,False,True,True
1.19FDY_r2.wav,1350,4050,8000,19,1,False,True,True
1.1EDN_r1.wav,1250,450,5750,1,1,False,False,False
1.1EDN_r2.wav,2250,1150,6450,1,1,False,False,False
1.20FDY_r1.wav,1250,400,6100,20,1,False,True,True
1.20FDY_r2.wav,1700,2300,8950,20,1,False,True,True
1.21FDY_r1.wav,1600,650,5200,21,1,False,True,True
1.21FDY_r2.wav,2450,1200,7250,21,1,False,True,True
1.22FDY_r1.wav,3050,600,5300,22,1,False,True,True
1.22FDY_r2.wav,3750,1650,6800,22,1,False,True,True
1.23FDY_r1.wav,1850,800,4950,23,1,False,True,True
1.23FDY_r2.wav,2700,450,5400,23,1,False,True,True
1.24FDY_r1.wav,1400,750,5300,24,1,False,True,True
1.24FDY_r2.wav,1350,2950,7450,24,1,False,True,True
1.25FQY_r1.wav,750,3300,6000,25,1,True,True,True
1.25FQY_r2.wav,700,3400,6650,25,1,True,True,True
1.26FDY_r1.wav,3050,300,5750,26,1,False,True,True
1.26FDY_r2.wav,3350,1700,6900,26,1,False,True,True
1.27FDY_r1.wav,1700,950,6200,27,1,False,True,True
1.27FDY_r2.wav,3250,3900,10050,27,1,False,True,True
1.28FDY_r1.wav,1000,650,5200,28,1,False,True,True
1.28FDY_r2.wav,900,450,6200,28,1,False,True,True
1.29FDY_r1.wav,1100,900,6300,29,1,False,True,True
1.29FDY_r2.wav,4600,3550,11100,29,1,False,True,True
1.2EQN_r1.wav,850,750,5300,2,1,True,False,False
1.2EQN_r2.wav,1550,2200,7250,2,1,True,False,False
1.30FQY_r1.wav,1500,600,6450,30,1,True,True,True
1.30FQY_r2.wav,600,1650,6800,30,1,True,True,True
1.31FQY_r1.wav,2600,800,5650,31,1,True,True,True
1.31FQY_r2.wav,1300,1350,6450,31,1,True,True,True
1.32FQY_r1.wav,1100,1050,5300,32,1,True,True,True
1.32FQY_r2.wav,5750,3750,11200,32,1,True,True,True
1.33FQN_r1.wav,800,1250,5400,33,1,True,False,True
1.33FQN_r2.wav,1800,1450,6650,33,1,True,False,True
1.34FDN_r1.wav,1150,500,5200,34,1,False,False,True
1.34FDN_r2.wav,3100,1150,7000,34,1,False,False,True
1.35FQN_r1.wav,2050,1600,5550,35,1,True,False,True
1.35FQN_r2.wav,3250,3250,8350,35,1,True,False,True
1.36FDN_r1.wav,1000,450,4950,36,1,False,False,True
1.36FDN_r2.wav,2050,0,5300,36,1,False,False,True
1.37FQN_r1.wav,1100,400,4600,37,1,True,False,True
1.37FQN_r2.wav,2450,600,5850,37,1,True,False,True
1.38FQN_r1.wav,900,700,5200,38,1,True,False,True
1.38FQN_r2.wav,7150,4150,12650,38,1,True,False,True
1.39FQN_r1.wav,950,650,4850,39,1,True,False,True
1.39FQN_r2.wav,1500,1900,6800,39,1,True,False,True
1.3EQN_r1.wav,800,1900,6450,3,1,True,False,False
1.3EQN_r2.wav,1900,3900,9500,3,1,True,False,False
1.40FQN_r1.wav,800,2400,7100,40,1,True,False,True
1.40FQN_r2.wav,1650,3200,8800,40,1,True,False,True
1.41FQN_r1.wav,1150,1200,5650,41,1,True,False,True
1.41FQN_r2.wav,1550,2300,7000,41,1,True,False,True
1.42FQN_r1.wav,1150,800,6100,42,1,True,False,True
1.42FQN_r2.wav,1850,2850,8700,42,1,True,False,True
1.43FQN_r1.wav,850,700,4750,43,1,True,False,True
1.43FQN_r2.wav,1000,2100,6550,43,1,True,False,True
1.44FDN_r1.wav,800,2650,6800,44,1,False,False,True
1.44FDN_r2.wav,1900,2100,7800,44,1,False,False,True
1.45FDN_r1.wav,950,0,4850,45,1,False,False,True
1.45FDN_r2.wav,2100,2000,7000,45,1,False,False,True
1.46FQN_r1.wav,3950,500,6200,46,1,True,False,True
1.46FQN_r2.wav,1250,1850,7000,46,1,True,False,True
1.47FQN_r1.wav,800,450,4750,47,1,True,False,True
1.47FQN_r2.wav,4600,1900,8800,47,1,True,False,True
1.48FQN_r1.wav,800,0,5550,48,1,True,False,True
1.48FQN_r2.wav,1300,1600,6550,48,1,True,False,True
1.4EQY_r1.wav,1500,1300,7250,4,1,True,True,False
1.4EQY_r2.wav,3250,1400,7250,4,1,True,True,False
1.5EQN_r1.wav,1450,600,4750,5,1,True,False,False
