Filename,Length,isFiller,Condition_Q,Condition_GP,Participant,Item,irt
210.37FDN,9750,True,False,False,210,37,5371
210.40FDN,5895,True,False,False,210,40,5984
210.27FQY,15646,True,True,True,210,27,9222
210.9EQY,11111,False,True,True,210,9,6030
210.2EDY,5555,False,False,True,210,2,1020
210.10EDY,4875,False,False,True,210,10,5099
210.6EDN,4308,False,False,False,210,6,3269
210.14EDN,5215,False,False,False,210,14,6415
210.19FQY,7823,True,True,True,210,19,0
210.46FDN,5668,True,False,False,210,46,6598
210.21FQY,8843,True,True,True,210,21,4281
210.32FDY,8956,True,False,True,210,32,4559
210.36FQN,8616,True,True,False,210,36,4349
210.26FQY,13378,True,True,True,210,26,4598
210.41FDN,7369,True,False,False,210,41,8059
210.5EDY,6009,False,False,True,210,5,5340
210.13EQN,4535,False,True,False,210,13,4924
210.18FQY,5782,True,True,True,210,18,5241
210.7EQN,6349,False,True,False,210,7,7099
210.3EDY,6122,False,False,True,210,3,4951
210.20FQY,10430,True,True,True,210,20,6258
210.47FDN,4421,True,False,False,210,47,1751
210.38FDN,7142,True,False,False,210,38,5431
210.35FDN,9070,True,False,False,210,35,1425
210.42FDN,4421,True,False,False,210,42,4769
210.25FDY,9863,True,False,True,210,25,1470
210.31FDY,9750,True,False,True,210,31,4769
210.28FQY,5782,True,True,True,210,28,4851
210.33FDN,11337,True,False,False,210,33,8312
210.23FQY,8730,True,True,True,210,23,3939
210.44FQN,4195,True,True,False,210,44,870
210.4EDN,7596,False,False,False,210,4,7775
210.12EQY,5102,False,True,True,210,12,3571
210.16EDN,4081,False,False,False,210,16,6121
210.15EQY,5782,False,True,True,210,15,2062
210.11EQN,7142,False,True,False,210,11,7772
210.30FDY,8163,True,False,True,210,30,4297
210.34FQN,8843,True,True,False,210,34,4707
210.24FQY,8730,True,True,True,210,24,5327
210.29FQY,4421,True,True,True,210,29,4529
210.39FDN,4648,True,False,False,210,39,2309
210.43FDN,4421,True,False,False,210,43,3640
210.22FQY,7936,True,True,True,210,22,3749
210.45FQN,4761,True,True,False,210,45,3839
210.48FDN,8503,True,False,False,210,48,4741
210.1EQY,5215,False,True,True,210,1,865
210.17FQY,9637,True,True,True,210,17,6572
210.8EQN,17913,False,True,False,210,8,3269
204.19FQY,5102,True,True,True,204,19,2612
204.46FDN,7596,True,False,False,204,46,1866
204.21FQY,9183,True,True,True,204,21,1692
204.9EQN,10997,False,True,False,204,9,1532
204.37FDN,10090,True,False,False,204,37,5481
204.2EDN,5215,False,False,False,204,2,1885
204.40FDN,5668,True,False,False,204,40,5967
204.6EDY,5328,False,False,True,204,6,528
204.27FQY,10657,True,True,True,204,27,1590
204.12EQN,5895,False,True,False,204,12,6855
204.16EDY,4761,False,False,True,204,16,1230
204.11EQY,1587,False,True,True,204,11,0
204.18FQY,6349,True,True,True,204,18,6889
204.15EQN,5102,False,True,False,204,15,5881
204.20FQY,12358,True,True,True,204,20,6570
204.47FDN,4988,True,False,False,204,47,1560
204.5EDN,5328,False,False,False,204,5,5807
204.36FQN,11451,True,True,False,204,36,2552
204.32FDY,8163,True,False,True,204,32,1170
204.26FQY,9183,True,True,True,204,26,1939
204.7EQY,6349,False,True,True,204,7,1939
204.3EDN,4648,False,False,False,204,3,3659
204.41FDN,3854,True,False,False,204,41,1470
204.33FDN,8276,True,False,False,204,33,3299
204.23FQY,8390,True,True,True,204,23,4199
204.44FQN,5328,True,True,False,204,44,2759
204.14EDY,6235,False,False,True,204,14,1860
204.10EDN,6916,False,False,False,204,10,2835
204.38FDN,6462,True,False,False,204,38,4181
204.35FDN,8843,True,False,False,204,35,1508
204.42FDN,5782,True,False,False,204,42,4641
204.25FDY,9863,True,False,True,204,25,1295
204.31FDY,12018,True,False,True,204,31,6895
204.4EDY,5668,False,False,True,204,4,1320
204.28FQY,6009,True,True,True,204,28,6609
204.22FQY,7823,True,True,True,204,22,872
204.45FQN,5328,True,True,False,204,45,5147
204.48FDN,10430,True,False,False,204,48,5701
204.13EQY,6575,False,True,True,204,13,5374
204.17FQY,8390,True,True,True,204,17,4471
204.1EQN,5328,False,True,False,204,1,6108
204.34FQN,10657,True,True,False,204,34,2548
204.30FDY,10770,True,False,True,204,30,3471
204.24FQY,10884,True,True,True,204,24,7195
204.29FQY,5668,True,True,True,204,29,5189
204.39FDN,5555,True,False,False,204,39,1325
204.8EQY,8730,False,True,True,204,8,930
204.43FDN,5102,True,False,False,204,43,2762
203.19FDY,3061,True,False,True,203,19,0
203.14EQN,3401,False,True,False,203,14,2399
203.10EQY,3514,False,True,True,203,10,690
203.21FDY,4988,True,False,True,203,21,2408
203.5EQY,5102,False,True,True,203,5,1950
203.46FQN,3514,True,True,False,203,46,2309
203.27FDY,5442,True,False,True,203,27,0
203.40FQN,3287,True,True,False,203,40,1650
203.7EDN,5328,False,False,False,203,7,660
203.3EQY,8616,False,True,True,203,3,3509
203.37FQN,3854,True,True,False,203,37,1200
203.18FDY,2834,True,False,True,203,18,1410
203.47FQN,2607,True,True,False,203,47,1500
203.9EDY,4875,False,False,True,203,9,1410
203.20FDY,4988,True,False,True,203,20,1650
203.41FQN,3514,True,True,False,203,41,0
203.2EQY,5895,False,True,True,203,2,2100
203.26FDY,5442,True,False,True,203,26,1320
203.32FQY,7483,True,True,True,203,32,3089
203.36FDN,4535,True,False,False,203,36,1620
203.6EQN,4988,False,True,False,203,6,1560
203.13EDN,4195,False,False,False,203,13,1735
203.44FDN,4648,True,False,False,203,44,4467
203.23FDY,5668,True,False,True,203,23,2789
203.33FQN,5668,True,True,False,203,33,0
203.12EDY,3174,False,False,True,203,12,1500
203.16EQN,3514,False,True,False,203,16,0
203.28FDY,3061,True,False,True,203,28,1770
203.1EDY,4988,False,False,True,203,1,0
203.31FQY,6575,True,True,True,203,31,1680
203.25FQY,4081,True,True,True,203,25,2248
203.42FQN,4421,True,True,False,203,42,0
203.35FQN,6462,True,True,False,203,35,2190
203.8EDN,3287,False,False,False,203,8,1950
203.38FQN,4761,True,True,False,203,38,2421
203.48FQN,4988,True,True,False,203,48,0
203.45FDN,3854,True,False,False,203,45,1590
203.22FDY,5102,True,False,True,203,22,0
203.17FDY,8730,True,False,True,203,17,3329
203.11EDN,4195,False,False,False,203,11,1765
203.15EDY,3401,False,False,True,203,15,0
203.43FQN,2947,True,True,False,203,43,450
203.39FQN,2947,True,True,False,203,39,0
203.29FDY,4761,True,False,True,203,29,0
203.24FDY,4195,True,False,True,203,24,1560
203.4EQN,6235,False,True,False,203,4,1590
203.30FQY,5668,True,True,True,203,30,990
203.34FDN,5782,True,False,False,203,34,1620
205.4EQY,18707,False,True,True,205,4,14351
205.16EQY,5328,False,True,True,205,16,6738
205.12EDN,5328,False,False,False,205,12,8058
205.27FDY,19387,True,False,True,205,27,15867
205.40FQN,5555,True,True,False,205,40,10264
205.37FQN,12811,True,True,False,205,37,9381
205.21FDY,8843,True,False,True,205,21,4954
205.46FQN,4421,True,True,False,205,46,10360
205.19FDY,4308,True,False,True,205,19,5868
205.8EDY,5555,False,False,True,205,8,11854
205.1EDN,9183,False,False,False,205,1,5581
205.41FQN,5102,True,True,False,205,41,11791
205.26FDY,16893,True,False,True,205,26,12714
205.32FQY,9863,True,True,True,205,32,1945
205.36FDN,16213,True,False,False,205,36,13357
205.47FQN,4988,True,True,False,205,47,1778
205.20FDY,18707,True,False,True,205,20,13871
205.15EDN,4535,False,False,False,205,15,1445
205.18FDY,5442,True,False,True,205,18,5351
205.11EDY,4648,False,False,True,205,11,7468
205.28FDY,4761,True,False,True,205,28,1041
205.31FQY,13605,True,True,True,205,31,9309
205.42FQN,5102,True,True,False,205,42,16741
205.25FQY,12925,True,True,True,205,25,8622
205.38FQN,5102,True,True,False,205,38,1802
205.35FQN,19501,True,True,False,205,35,16441
205.10EQN,4988,False,True,False,205,10,6158
205.6EQY,15079,False,True,True,205,6,11544
205.14EQY,5215,False,True,True,205,14,10644
205.2EQN,11678,False,True,False,205,2,7535
205.9EDN,5102,False,False,False,205,9,6092
205.23FDY,15419,True,False,True,205,23,11547
205.44FDN,5668,True,False,False,205,44,10887
205.33FQN,16326,True,True,False,205,33,12604
205.43FQN,5442,True,True,False,205,43,3732
205.39FQN,5328,True,True,False,205,39,1578
205.24FDY,9410,True,False,True,205,24,6191
205.29FDY,6009,True,False,True,205,29,10778
205.30FQY,16213,True,True,True,205,30,13274
205.34FDN,11791,True,False,False,205,34,6655
205.7EDY,21541,False,False,True,205,7,17984
205.3EQN,11111,False,True,False,205,3,7668
205.5EQN,9750,False,True,False,205,5,6548
205.17FDY,13151,True,False,True,205,17,9604
205.13EDY,5442,False,False,True,205,13,9312
205.48FQN,13605,True,True,False,205,48,8880
205.22FDY,14965,True,False,True,205,22,11847
205.45FDN,5328,True,False,False,205,45,6768
20.33FDN,4875,True,False,False,20,33,0
20.23FQY,4535,True,True,True,20,23,0
20.44FQN,14965,True,True,False,20,44,0
20.38FDN,13038,True,False,False,20,38,0
20.35FDN,3854,True,False,False,20,35,0
20.42FDN,11564,True,False,False,20,42,0
20.25FDY,4535,True,False,True,20,25,0
20.31FDY,5668,True,False,True,20,31,0
20.28FQY,13832,True,True,True,20,28,0
20.14EDY,12698,False,False,True,20,14,0
20.4EDY,5442,False,False,True,20,4,0
20.10EDN,16666,False,False,False,20,10,0
20.13EQY,13492,False,True,True,20,13,0
20.17FQY,4535,True,True,True,20,17,0
20.22FQY,5102,True,True,True,20,22,0
20.45FQN,17573,True,True,False,20,45,0
20.48FDN,4988,True,False,False,20,48,0
20.30FDY,5442,True,False,True,20,30,0
20.34FQN,4875,True,True,False,20,34,0
20.24FQY,4648,True,True,True,20,24,0
20.29FQY,17346,True,True,True,20,29,0
