"","Speaker ID","Recording ID","X or Y","First Recording For Speaker","Break_V","Break_OBJ","Break_PP1","Strongest","Weakest","Struggle","Struggle_start","Q_intonation","Silence after reading (Y/R1)","Silence before reading (X/R2)","Q_condition","GP_condition","Reading","item","rec"
"1",1,"1.1EDN_X","X","1X","NO","YES","NO","OBJ","NONE","NO",NA,"NO",NA,NA,"D","N","1","1","1EDN"
"2",1,"1.2EQN_Y","Y","1X","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"Q","N","2","2","2EQN"
"3",1,"1.3EQN_X","X","1X","YES","YES","YES","OBJ","V","NO",NA,"NO",NA,NA,"Q","N","1","3","3EQN"
"4",1,"1.4EQY_Y","Y","1X","NO","YES","YES","NONE","NONE","NO",NA,"NO",NA,NA,"Q","Y","2","4","4EQY"
"5",1,"1.5EQN_X","X","1X","NO","YES","NO","OBJ","NONE","NO",NA,"NO",NA,NA,"Q","N","1","5","5EQN"
"6",1,"1.6EQY_Y","Y","1X","NO","YES","YES","PP1","OBJ","YES","PP1","NO",NA,NA,"Q","Y","2","6","6EQY"
"7",1,"1.7EDY_X","X","1X","NO","YES","YES","PP1","OBJ","YES","PP2","NO",NA,NA,"D","Y","1","7","7EDY"
"8",1,"1.8EDY_Y","Y","1X","NO","YES","YES","NONE","NONE","NO",NA,"NO",NA,NA,"D","Y","2","8","8EDY"
"9",1,"1.9EDN_X","X","1X","YES","YES","YES","PP1","V","YES","OBJ","NO",NA,NA,"D","N","1","9","9EDN"
"10",1,"1.10EQN_Y","Y","1X","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"Q","N","2","10","10EQN"
"11",1,"1.11EDY_X","X","1X","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"D","Y","1","11","11EDY"
"12",1,"1.12EDN_Y","Y","1X","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","N","2","12","12EDN"
"13",1,"1.13EDY_X","X","1X","NO","YES","YES","OBJ","PP1","YES","PP2","NO",NA,NA,"D","Y","1","13","13EDY"
"14",1,"1.14EQY_Y","Y","1X","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"Q","Y","2","14","14EQY"
"15",1,"1.15EDN_X","X","1X","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","N","1","15","15EDN"
"16",1,"1.16EQY_Y","Y","1X","NO","YES","YES","NONE","NONE","NO",NA,"NO",NA,NA,"Q","Y","2","16","16EQY"
"17",1,"1.16EQY_X","X","1X","NO","YES","YES","PP1","OBJ","NO",NA,"YES",NA,NA,"Q","Y","1","16","16EQY"
"18",1,"1.15EDN_Y","Y","1X","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"D","N","2","15","15EDN"
"19",1,"1.14EQY_X","X","1X","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"Q","Y","1","14","14EQY"
"20",1,"1.13EDY_Y","Y","1X","YES","YES","YES","PP1","V","NO",NA,"NO",NA,NA,"D","Y","2","13","13EDY"
"21",1,"1.12EDN_X","X","1X","NO","YES","YES","NONE","NONE","NO",NA,"NO",NA,NA,"D","N","1","12","12EDN"
"22",1,"1.11EDY_Y","X","1X","NO","YES","YES","NONE","NONE","YES",NA,"NO",NA,NA,"D","Y","1","11","11EDY"
"23",1,"1.10EQN_X","X","1X","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","N","1","10","10EQN"
"24",1,"1.9EDN_Y","Y","1X","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"D","N","2","9","9EDN"
"25",1,"1.8EDY_X","X","1X","NO","NO","YES","PP1","NONE","YES","PP1","NO",NA,NA,"D","Y","1","8","8EDY"
"26",1,"1.7EDY_Y","Y","1X","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","Y","2","7","7EDY"
"27",1,"1.6EQY_X","X","1X","NO","YES","YES","OBJ","PP1","YES","PP1","NO",NA,NA,"Q","Y","1","6","6EQY"
"28",1,"1.5EQN_Y","Y","1X","NO","YES","NO","OBJ","NONE","NO",NA,"NO",NA,NA,"Q","N","2","5","5EQN"
"29",1,"1.4EQY_X","X","1X","NO","YES","YES","PP1","OBJ","YES","START","NO",NA,NA,"Q","Y","1","4","4EQY"
"30",1,"1.3EQN_Y","Y","1X","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"Q","N","2","3","3EQN"
"31",1,"1.2EQN_X","X","1X","NO","YES","YES","OBJ","PP1","YES","PP2","YES",NA,NA,"Q","N","1","2","2EQN"
"32",1,"1.1EDN_Y","Y","1X","YES","YES","YES","OBJ","V","NO",NA,"NO",NA,NA,"D","N","2","1","1EDN"
"33",3,"3.16EQN_Y","Y","16Y","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"Q","N","2","16","16EQN"
"34",3,"3.15EDY_X","X","16Y","NO","YES","YES","NONE","NONE","NO",NA,"NO",NA,NA,"D","Y","1","15","15EDY"
"35",3,"3.14EQN_Y","Y","16Y","NO","YES","NO","OBJ","NONE","NO",NA,"YES",NA,NA,"Q","N","2","14","14EQN"
"36",3,"3.13EDN_X","X","16Y","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","N","1","13","13EDN"
"37",3,"3.12EDY_Y","Y","16Y","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"D","Y","2","12","12EDY"
"38",3,"3.11EDN_X","X","16Y","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","N","1","11","11EDN"
"39",3,"3.10EQY_Y","Y","16Y","NO","YES","YES","OBJ","PP1","NO",NA,"YES",NA,NA,"Q","Y","2","10","10EQY"
"40",3,"3.9EDY_X","X","16Y","YES","YES","YES","OBJ","V","NO",NA,"NO",NA,NA,"D","Y","1","9","9EDY"
"41",3,"3.8EDN_Y","Y","16Y","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","N","2","8","8EDN"
"42",3,"3.7EDN_X","X","16Y","NO","YES","NO","OBJ","NONE","NO",NA,"NO",NA,NA,"D","N","1","7","7EDN"
"43",3,"3.6EQN_Y","Y","16Y","NO","YES","NO","OBJ","NONE","NO",NA,"NO",NA,NA,"Q","N","2","6","6EQN"
"44",3,"3.5EQY_X","X","16Y","NO","YES","YES","PP1","OBJ","YES","PP2","YES",NA,NA,"Q","Y","1","5","5EQY"
"45",3,"3.4EQN_Y","Y","16Y","YES","YES","YES","OBJ","PP1","YES","PP2","NO",NA,NA,"Q","N","2","4","4EQN"
"46",3,"3.3EQY_X","X","16Y","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"Q","Y","1","3","3EQY"
"47",3,"3.2EQY_Y","Y","16Y","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"Q","Y","2","2","2EQY"
"48",3,"3.1EDY_X","X","16Y","YES","NO","YES","PP1","V","YES","PP2","NO",NA,NA,"D","Y","1","1","1EDY"
"49",3,"3.1EDY_Y","Y","16Y","YES","NO","YES","PP1","V","NO",NA,"NO",NA,NA,"D","Y","2","1","1EDY"
"50",3,"3.2EQY_X","X","16Y","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"Q","Y","1","2","2EQY"
"51",3,"3.3EQY_Y","Y","16Y","NO","YES","YES","PP1","V","NO",NA,"NO",NA,NA,"Q","Y","2","3","3EQY"
"52",3,"3.4EQN_X","X","16Y","NO","YES","NO","OBJ","NONE","NO",NA,"NO",NA,NA,"Q","N","1","4","4EQN"
"53",3,"3.5EQY_Y","Y","16Y","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"Q","Y","2","5","5EQY"
"54",3,"3.6EQN_X","X","16Y","YES","NO","YES","PP1","V","NO",NA,"YES",NA,NA,"Q","N","1","6","6EQN"
"55",3,"3.7EDN_Y","Y","16Y","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"D","N","2","7","7EDN"
"56",3,"3.8EDN_X","X","16Y","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"D","N","1","8","8EDN"
"57",3,"3.9EDY_Y","Y","16Y","YES","YES","YES","OBJ","V","NO",NA,"NO",NA,NA,"D","Y","2","9","9EDY"
"58",3,"3.10EQY_X","X","16Y","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","Y","1","10","10EQY"
"59",3,"3.11EDN_Y","Y","16Y","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"D","N","2","11","11EDN"
"60",3,"3.12EDY_X","X","16Y","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"D","Y","1","12","12EDY"
"61",3,"3.13EDN_Y","Y","16Y","NO","YES","NO","OBJ","NONE","NO",NA,"NO",NA,NA,"D","N","2","13","13EDN"
"62",3,"3.14EQN_X","X","16Y","YES","YES","YES","PP1","OBJ","NO",NA,"YES",NA,NA,"Q","N","1","14","14EQN"
"63",3,"3.15EDY_Y","Y","16Y","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"D","Y","2","15","15EDY"
"64",3,"3.16EQN_X","X","16Y","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","N","1","16","16EQN"
"65",5,"5.2EQN_Y","Y","1X","NO","YES","NO","OBJ","NONE","NO",NA,"YES",NA,NA,"Q","N","2","2","2EQN"
"66",5,"5.3EQN_X","X","1X","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","N","1","3","3EQN"
"67",5,"5.4EQY_Y","Y","1X","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"Q","Y","2","4","4EQY"
"68",5,"5.8EDY_Y","Y","1X","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","Y","2","8","8EDY"
"69",5,"5.9EDN_X","X","1X","NO","YES","NO","OBJ","NONE","NO",NA,"NO",NA,NA,"D","N","1","9","9EDN"
"70",5,"5.12EDN_Y","Y","1X","NO","YES","NO","OBJ","NONE","NO",NA,"NO",NA,NA,"D","N","2","12","12EDN"
"71",5,"5.13EDY_X","X","1X","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"D","Y","1","13","13EDY"
"72",5,"5.14EQY_Y","Y","1X","NO","YES","YES","PP1","OBJ","NO",NA,"YES",NA,NA,"Q","Y","2","14","14EQY"
"73",7,"7.16EQN_X","X","16X","NO","YES","NO","OBJ","NONE","NO",NA,"YES",NA,NA,"Q","N","1","16","16EQN"
"74",7,"7.15EDY_Y","Y","16X","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"D","Y","2","15","15EDY"
"75",7,"7.14EQN_X","X","16X","NO","YES","NO","OBJ","NONE","NO",NA,"YES",NA,NA,"Q","N","1","14","14EQN"
"76",7,"7.13EDN_Y","Y","16X","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"D","N","2","13","13EDN"
"77",7,"7.12EDY_X","X","16X","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"D","Y","1","12","12EDY"
"78",7,"7.11EDN_Y","Y","16X","NO","YES","YES","NONE","NONE","NO",NA,"NO",NA,NA,"D","N","2","11","11EDN"
"79",7,"7.10EQY_X","X","16X","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","Y","1","10","10EQY"
"80",7,"7.9EDY_Y","Y","16X","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","Y","2","9","9EDY"
"81",7,"7.8EDN_X","X","16X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","N","1","8","8EDN"
"82",7,"7.7EDN_Y","Y","16X","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"D","N","2","7","7EDN"
"83",7,"7.6EQN_X","X","16X","NO","YES","YES","OBJ","PP1","NO",NA,"YES",NA,NA,"Q","N","1","6","6EQN"
"84",7,"7.5EQY_Y","Y","16X","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","Y","2","5","5EQY"
"85",7,"7.4EQN_X","X","16X","NO","NO","NO","NONE","NONE","NO",NA,"YES",1,NA,"Q","N","1","4","4EQN"
"86",7,"7.3EQY_Y","Y","16X","NO","YES","YES","NONE","NONE","NO",NA,"NO",NA,NA,"Q","Y","2","3","3EQY"
"87",7,"7.2EQY_X","X","16X","NO","YES","YES","NONE","NONE","YES","START","YES",NA,NA,"Q","Y","1","2","2EQY"
"88",7,"7.1EDY_Y","Y","16X","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"D","Y","2","1","1EDY"
"89",9,"9.16EQY_Y","Y","16Y","YES","NO","YES","PP1","V","NO",NA,"YES",NA,NA,"Q","Y","2","16","16EQY"
"90",9,"9.15EDN_X","X","16Y","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"D","N","1","15","15EDN"
"91",9,"9.14EQY_Y","Y","16Y","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"Q","Y","2","14","14EQY"
"92",9,"9.13EDY_X","X","16Y","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"D","Y","1","13","13EDY"
"93",9,"9.12EDN_Y","Y","16Y","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"D","N","2","12","12EDN"
"94",9,"9.11EDY_X","X","16Y","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"D","Y","1","11","11EDY"
"95",9,"9.10EQN_Y","Y","16Y","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","N","2","10","10EQN"
"96",9,"9.9EDN_X","X","16Y","NO","YES","NO","OBJ","NONE","NO",NA,"NO",NA,NA,"D","N","1","9","9EDN"
"97",9,"9.8EDY_Y","Y","16Y","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"D","Y","2","8","8EDY"
