Participant,r1delbyp,r1DelCat,Item,SUBJ,AUX,Asp,V,P1,P2+GP,P2-GP,ID,Gender,lightReading,bookReading,Monolingual,ease,Semester,DOTW,timeslot,DATE,isFiller,Condition_Q,Condition_GP,irt,File_pair,R2 UL,R2 Lead,R2 FL,R1 UL,R1 FL,R1 Trail,wkd,cond,Q,GP,win_irt,wirt.log10,wirt
1,1396.875,SLOW,12,he,had,planned to,stick,on,onto,from,1-12,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,FALSE,FALSE,5068.88,1.12EDN,2160,3420,7483,2790,5668.88,1648.88,5,D -GP,D,-GP,4876.64375,3.6881210305433254,4876.64375
1,1396.875,SLOW,8,she,had,planned to,put,in,onto,of,1-8,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,FALSE,TRUE,3726.38,1.8EDY,2880,1680,7369.62,4320,7596.38,2046.38,5,D +GP,D,+GP,3726.38,3.5712871402779425,3726.38
1,1396.875,SLOW,13,she,had,intended to,set,in,onto,from,1-13,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,FALSE,TRUE,2028.75,1.13EDY,4290,2010,9410.38,3660,5328.75,18.75,5,D +GP,D,+GP,2028.75,3.307228532834288,2028.75
1,1396.875,SLOW,4,she,had,planned to,cram,in,into,of,1-4,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,TRUE,TRUE,4556.25,1.4EQY,2160,2400,7256.25,3210,7256.25,2156.25,5,Q +GP,Q,+GP,4556.25,3.6586075456620497,4556.25
1,1396.875,SLOW,7,he,had,wanted to,put,on,onto,from,1-7,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,FALSE,TRUE,2655.75,1.7EDY,2760,1560,6122.5,3540,5895.75,1095.75,5,D +GP,D,+GP,2655.75,3.4241871901498113,2655.75
1,1396.875,SLOW,2,she,had,decided to,cram,in,into,from,1-2,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,TRUE,FALSE,2778.75,1.2EQN,2490,2040,7256.25,3120,5328.75,738.75,5,Q -GP,Q,-GP,2778.75,3.443849475707047,2778.75
1,1396.875,SLOW,14,he,had,decided to,set,on,onto,of,1-14,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,TRUE,TRUE,1405.38,1.14EQY,2910,1080,8503.38,3900,5215.38,325.38,5,Q +GP,Q,+GP,1556.595,3.1921756311006124,1556.595
1,1396.875,SLOW,1,he,had,intended to,cram,in,into,of,1-1,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,FALSE,FALSE,2122.38,1.1EDN,3390,1350,6462.62,3150,5782.38,772.38,5,D -GP,D,-GP,2122.38,3.326823144470238,2122.38
1,1396.875,SLOW,10,he,had,decided to,stick,in,into,from,1-10,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,TRUE,FALSE,3128.62,1.10EQN,6210,1680,8843.5,2400,4988.62,1448.62,5,Q -GP,Q,-GP,3128.62,3.4953528172449317,3128.62
1,1396.875,SLOW,6,she,had,decided to,put,on,onto,from,1-6,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,TRUE,TRUE,4032.12,1.6EQY,2070,2100,7142.88,2010,5442.12,1932.12,5,Q +GP,Q,+GP,4032.12,3.605533448676139,4032.12
1,1396.875,SLOW,3,he,had,wanted to,cram,under,into,from,1-3,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,TRUE,FALSE,4152.62,1.3EQN,3780,1950,9523.75,3330,6462.62,2202.62,5,Q -GP,Q,-GP,4152.62,3.6183221912943706,4152.62
1,1396.875,SLOW,5,he,had,intended to,put,on,into,of,1-5,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,TRUE,FALSE,2601.88,1.5EQN,3960,1470,5782.38,2130,4761.88,1131.88,5,Q -GP,Q,-GP,2601.88,3.415287262809886,2601.88
1,1396.875,SLOW,15,she,had,wanted to,set,on,into,of,1-15,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,FALSE,FALSE,1808.62,1.15EDN,3930,1350,6689.38,3360,4988.62,458.62,5,D -GP,D,-GP,1808.62,3.257347329027355,1808.62
1,1396.875,SLOW,11,she,had,wanted to,stick,in,into,of,1-11,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,FALSE,TRUE,2648.62,1.11EDY,2700,1740,7256.25,2940,4988.62,908.62,5,D +GP,D,+GP,2648.62,3.423019654129168,2648.62
1,1396.875,SLOW,16,he,had,planned to,set,on,onto,from,1-16,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,TRUE,TRUE,2252,1.16EQY,2790,1110,5328.75,2490,5102,1142,5,Q +GP,Q,+GP,2252,3.3525683861793087,2252
