STRONG,OBJ,UID,Condition_GP,V,WEAK,STRUG_START,two_level_prosody,IID,PP1,XY,Condition_Q,QI,SID,REC_CLEAN,REC,Reading,STRUG,prosody,FIRST,pair,condition,pdom,odom,simple2lvl,ID
OBJ,TRUE,1-1-1,FALSE,FALSE,NONE,NA,OBJ,1,FALSE,X,FALSE,NO,1,1EDN,1.1EDN_X,1,FALSE,OBJ,1X,1-1,D -GP,FALSE,TRUE,OBJ,1-1
OBJ,TRUE,1-1-2,FALSE,TRUE,V,NA,OBJ > PP1,1,TRUE,Y,FALSE,NO,1,1EDN,1.1EDN_Y,2,FALSE,OBJ > V PP1,1X,1-1,D -GP,FALSE,TRUE,BOTH,1-1
PP1,FALSE,1-10-1,FALSE,FALSE,NONE,NA,PP1,10,TRUE,X,TRUE,YES,1,10EQN,1.10EQN_X,1,FALSE,PP1,1X,1-10,Q -GP,TRUE,FALSE,PP1,1-10
PP1,FALSE,1-10-2,FALSE,FALSE,NONE,NA,PP1,10,TRUE,Y,TRUE,NO,1,10EQN,1.10EQN_Y,2,FALSE,PP1,1X,1-10,Q -GP,TRUE,FALSE,PP1,1-10
OBJ,TRUE,1-11-1,TRUE,FALSE,PP1,NA,OBJ > PP1,11,TRUE,X,FALSE,NO,1,11EDY,1.11EDY_X,1,FALSE,OBJ > PP1,1X,1-11,D +GP,FALSE,TRUE,BOTH,1-11
NONE,TRUE,1-11-2,TRUE,FALSE,NONE,NA,OBJ PP1,11,TRUE,Y,FALSE,NO,1,11EDY,1.11EDY_Y,2,TRUE,OBJ PP1,1X,1-11,D +GP,FALSE,FALSE,BOTH,1-11
NONE,TRUE,1-12-1,FALSE,FALSE,NONE,NA,OBJ PP1,12,TRUE,X,FALSE,NO,1,12EDN,1.12EDN_X,1,FALSE,OBJ PP1,1X,1-12,D -GP,FALSE,FALSE,BOTH,1-12
PP1,TRUE,1-12-2,FALSE,FALSE,OBJ,NA,PP1 > OBJ,12,TRUE,Y,FALSE,NO,1,12EDN,1.12EDN_Y,2,FALSE,PP1 > OBJ,1X,1-12,D -GP,TRUE,FALSE,BOTH,1-12
OBJ,TRUE,1-13-1,TRUE,FALSE,PP1,PP2,OBJ > PP1,13,TRUE,X,FALSE,NO,1,13EDY,1.13EDY_X,1,TRUE,OBJ > PP1,1X,1-13,D +GP,FALSE,TRUE,BOTH,1-13
PP1,TRUE,1-13-2,TRUE,TRUE,V,NA,PP1 > OBJ,13,TRUE,Y,FALSE,NO,1,13EDY,1.13EDY_Y,2,FALSE,PP1 > V OBJ,1X,1-13,D +GP,TRUE,FALSE,BOTH,1-13
OBJ,TRUE,1-14-1,TRUE,FALSE,PP1,NA,OBJ > PP1,14,TRUE,X,TRUE,NO,1,14EQY,1.14EQY_X,1,FALSE,OBJ > PP1,1X,1-14,Q +GP,FALSE,TRUE,BOTH,1-14
PP1,TRUE,1-14-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,14,TRUE,Y,TRUE,NO,1,14EQY,1.14EQY_Y,2,FALSE,PP1 > OBJ,1X,1-14,Q +GP,TRUE,FALSE,BOTH,1-14
PP1,TRUE,1-15-1,FALSE,FALSE,OBJ,NA,PP1 > OBJ,15,TRUE,X,FALSE,NO,1,15EDN,1.15EDN_X,1,FALSE,PP1 > OBJ,1X,1-15,D -GP,TRUE,FALSE,BOTH,1-15
OBJ,TRUE,1-15-2,FALSE,FALSE,PP1,NA,OBJ > PP1,15,TRUE,Y,FALSE,NO,1,15EDN,1.15EDN_Y,2,FALSE,OBJ > PP1,1X,1-15,D -GP,FALSE,TRUE,BOTH,1-15
PP1,TRUE,1-16-1,TRUE,FALSE,OBJ,NA,PP1 > OBJ,16,TRUE,X,TRUE,YES,1,16EQY,1.16EQY_X,1,FALSE,PP1 > OBJ,1X,1-16,Q +GP,TRUE,FALSE,BOTH,1-16
NONE,TRUE,1-16-2,TRUE,FALSE,NONE,NA,OBJ PP1,16,TRUE,Y,TRUE,NO,1,16EQY,1.16EQY_Y,2,FALSE,OBJ PP1,1X,1-16,Q +GP,FALSE,FALSE,BOTH,1-16
OBJ,TRUE,1-2-1,FALSE,FALSE,PP1,PP2,OBJ > PP1,2,TRUE,X,TRUE,YES,1,2EQN,1.2EQN_X,1,TRUE,OBJ > PP1,1X,1-2,Q -GP,FALSE,TRUE,BOTH,1-2
OBJ,TRUE,1-2-2,FALSE,FALSE,PP1,NA,OBJ > PP1,2,TRUE,Y,TRUE,NO,1,2EQN,1.2EQN_Y,2,FALSE,OBJ > PP1,1X,1-2,Q -GP,FALSE,TRUE,BOTH,1-2
OBJ,TRUE,1-3-1,FALSE,TRUE,V,NA,OBJ > PP1,3,TRUE,X,TRUE,NO,1,3EQN,1.3EQN_X,1,FALSE,OBJ > V PP1,1X,1-3,Q -GP,FALSE,TRUE,BOTH,1-3
OBJ,TRUE,1-3-2,FALSE,FALSE,PP1,NA,OBJ > PP1,3,TRUE,Y,TRUE,NO,1,3EQN,1.3EQN_Y,2,FALSE,OBJ > PP1,1X,1-3,Q -GP,FALSE,TRUE,BOTH,1-3
PP1,TRUE,1-4-1,TRUE,FALSE,OBJ,START,PP1 > OBJ,4,TRUE,X,TRUE,NO,1,4EQY,1.4EQY_X,1,TRUE,PP1 > OBJ,1X,1-4,Q +GP,TRUE,FALSE,BOTH,1-4
NONE,TRUE,1-4-2,TRUE,FALSE,NONE,NA,OBJ PP1,4,TRUE,Y,TRUE,NO,1,4EQY,1.4EQY_Y,2,FALSE,OBJ PP1,1X,1-4,Q +GP,FALSE,FALSE,BOTH,1-4
