Participant,Item,Filename,Leading,Trailing,Length,isFiller.x,Condition_Q.x,Condition_GP.x,Utterance length,Reading,reading,R1 Leading,r1delbyp,r1DelCat,target,SUBJ,AUX,Asp,V,P1,P2+GP,P2-GP,ID,Gender,lightReading,bookReading,Monolingual,ease,Semester,DOTW,timeslot,DATE,isFiller.y,Condition_Q.y,Condition_GP.y,irt,File_pair,R2 UL,R2 Lead,R2 FL,R1 UL,R1 FL,R1 Trail,wkd,cond,Q,GP,win_irt,wirt.log10
1,1,1.1EDN_r1.wav,1860,772.38,5782.38,FALSE,FALSE,FALSE,3150,Cold,1,1860,1396.875,SLOW,1,he,had,intended to,cram,in,into,of,1,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,FALSE,FALSE,2122.38,1.1EDN,3390,1350,6462.62,3150,5782.38,772.38,5,-Q -GP,-Q,-GP,2122.38,3.326823144470238
1,10,1.10EQN_r1.wav,1140,1448.62,4988.62,FALSE,TRUE,FALSE,2400,Cold,1,1140,1396.875,SLOW,10,he,had,decided to,stick,in,into,from,1,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,TRUE,FALSE,3128.62,1.10EQN,6210,1680,8843.5,2400,4988.62,1448.62,5,+Q -GP,+Q,-GP,3128.62,3.4953528172449317
1,11,1.11EDY_r1.wav,1140,908.62,4988.62,FALSE,FALSE,TRUE,2940,Cold,1,1140,1396.875,SLOW,11,she,had,wanted to,stick,in,into,of,1,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,FALSE,TRUE,2648.62,1.11EDY,2700,1740,7256.25,2940,4988.62,908.62,5,-Q +GP,-Q,+GP,2648.62,3.423019654129168
1,12,1.12EDN_r1.wav,1230,1648.88,5668.88,FALSE,FALSE,FALSE,2790,Cold,1,1230,1396.875,SLOW,12,he,had,planned to,stick,on,onto,from,1,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,FALSE,FALSE,5068.88,1.12EDN,2160,3420,7483,2790,5668.88,1648.88,5,-Q -GP,-Q,-GP,4684.4075,3.6706546676350738
1,13,1.13EDY_r1.wav,1650,18.75,5328.75,FALSE,FALSE,TRUE,3660,Cold,1,1650,1396.875,SLOW,13,she,had,intended to,set,in,onto,from,1,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,FALSE,TRUE,2028.75,1.13EDY,4290,2010,9410.38,3660,5328.75,18.75,5,-Q +GP,-Q,+GP,2028.75,3.307228532834288
1,14,1.14EQY_r1.wav,990,325.38,5215.38,FALSE,TRUE,TRUE,3900,Cold,1,990,1396.875,SLOW,14,he,had,decided to,set,on,onto,of,1,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,TRUE,TRUE,1405.38,1.14EQY,2910,1080,8503.38,3900,5215.38,325.38,5,+Q +GP,+Q,+GP,1707.81,3.232439552218625
1,15,1.15EDN_r1.wav,1170,458.62,4988.62,FALSE,FALSE,FALSE,3360,Cold,1,1170,1396.875,SLOW,15,she,had,wanted to,set,on,into,of,1,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,FALSE,FALSE,1808.62,1.15EDN,3930,1350,6689.38,3360,4988.62,458.62,5,-Q -GP,-Q,-GP,1808.62,3.257347329027355
1,16,1.16EQY_r1.wav,1470,1142,5102,FALSE,TRUE,TRUE,2490,Cold,1,1470,1396.875,SLOW,16,he,had,planned to,set,on,onto,from,1,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,TRUE,TRUE,2252,1.16EQY,2790,1110,5328.75,2490,5102,1142,5,+Q +GP,+Q,+GP,2252,3.3525683861793087
1,2,1.2EQN_r1.wav,1470,738.75,5328.75,FALSE,TRUE,FALSE,3120,Cold,1,1470,1396.875,SLOW,2,she,had,decided to,cram,in,into,from,1,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,TRUE,FALSE,2778.75,1.2EQN,2490,2040,7256.25,3120,5328.75,738.75,5,+Q -GP,+Q,-GP,2778.75,3.443849475707047
1,3,1.3EQN_r1.wav,930,2202.62,6462.62,FALSE,TRUE,FALSE,3330,Cold,1,930,1396.875,SLOW,3,he,had,wanted to,cram,under,into,from,1,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,TRUE,FALSE,4152.62,1.3EQN,3780,1950,9523.75,3330,6462.62,2202.62,5,+Q -GP,+Q,-GP,4152.62,3.6183221912943706
