Filename;Length;isFiller;Participant;Item;irt;GP_condition;Q_condition;condition;winsrdIRT;inter_reading
210.9EQY;11111;FALSE;210; 9; 6302;TRUE;TRUE;+Q +GP; 6296; 6302
210.2EDY; 5555;FALSE;210; 2; 1050;TRUE;FALSE;-Q +GP; 3903; 1050
210.10EDY; 4875;FALSE;210;10; 5099;TRUE;FALSE;-Q +GP; 5099; 5099
210.6EDN; 4308;FALSE;210; 6; 3269;FALSE;FALSE;-Q -GP; 3903; 3269
210.14EDN; 5215;FALSE;210;14; 6475;FALSE;FALSE;-Q -GP; 6296; 6475
210.5EDY; 6009;FALSE;210; 5; 5340;TRUE;FALSE;-Q +GP; 5340; 5340
210.13EQN; 4535;FALSE;210;13; 4984;FALSE;TRUE;+Q -GP; 4984; 4984
210.7EQN; 6349;FALSE;210; 7; 7159;FALSE;TRUE;+Q -GP; 6296; 7159
210.3EDY; 6122;FALSE;210; 3; 5011;TRUE;FALSE;-Q +GP; 5011; 5011
210.4EDN; 7596;FALSE;210; 4; 7805;FALSE;FALSE;-Q -GP; 6296; 7805
210.12EQY; 5102;FALSE;210;12; 4171;TRUE;TRUE;+Q +GP; 4171; 4171
210.16EDN; 4081;FALSE;210;16; 6121;FALSE;FALSE;-Q -GP; 6121; 6121
210.15EQY; 5782;FALSE;210;15; 5601;TRUE;TRUE;+Q +GP; 5601; 5601
210.11EQN; 7142;FALSE;210;11; 7832;FALSE;TRUE;+Q -GP; 6296; 7832
210.1EQY; 5215;FALSE;210; 1;  895;TRUE;TRUE;+Q +GP; 3903;  895
210.8EQN;17913;FALSE;210; 8; 5850;FALSE;TRUE;+Q -GP; 5850; 5850
204.9EQN;10997;FALSE;204; 9; 6422;FALSE;TRUE;+Q -GP; 6422; 6422
204.2EDN; 5215;FALSE;204; 2; 1885;FALSE;FALSE;-Q -GP; 2683; 1885
204.6EDY; 5328;FALSE;204; 6;  528;TRUE;FALSE;-Q +GP; 2683;  528
204.12EQN; 5895;FALSE;204;12; 7275;FALSE;TRUE;+Q -GP; 6457; 7275
204.16EDY; 4761;FALSE;204;16; 4349;TRUE;FALSE;-Q +GP; 4349; 4349
204.15EQN; 5102;FALSE;204;15; 5911;FALSE;TRUE;+Q -GP; 5911; 5911
204.5EDN; 5328;FALSE;204; 5; 5807;FALSE;FALSE;-Q -GP; 5807; 5807
204.7EQY; 6349;FALSE;204; 7; 7009;TRUE;TRUE;+Q +GP; 6457; 7009
204.3EDN; 4648;FALSE;204; 3; 3869;FALSE;FALSE;-Q -GP; 3869; 3869
204.14EDY; 6235;FALSE;204;14; 5189;TRUE;FALSE;-Q +GP; 5189; 5189
204.10EDN; 6916;FALSE;204;10; 2925;FALSE;FALSE;-Q -GP; 2925; 2925
204.4EDY; 5668;FALSE;204; 4; 6480;TRUE;FALSE;-Q +GP; 6457; 6480
204.13EQY; 6575;FALSE;204;13; 5374;TRUE;TRUE;+Q +GP; 5374; 5374
204.1EQN; 5328;FALSE;204; 1; 6198;FALSE;TRUE;+Q -GP; 6198; 6198
204.8EQY; 8730;FALSE;204; 8;  930;TRUE;TRUE;+Q +GP; 2683;  930
203.14EQN; 3401;FALSE;203;14; 2429;FALSE;TRUE;+Q -GP; 2368; 2429
203.10EQY; 3514;FALSE;203;10;  690;TRUE;TRUE;+Q +GP;  806;  690
203.5EQY; 5102;FALSE;203; 5; 1980;TRUE;TRUE;+Q +GP; 1980; 1980
203.7EDN; 5328;FALSE;203; 7;  660;FALSE;FALSE;-Q -GP;  806;  660
203.3EQY; 8616;FALSE;203; 3; 3509;TRUE;TRUE;+Q +GP; 2368; 3509
203.9EDY; 4875;FALSE;203; 9; 2130;TRUE;FALSE;-Q +GP; 2130; 2130
203.2EQY; 5895;FALSE;203; 2; 2100;TRUE;TRUE;+Q +GP; 2100; 2100
203.6EQN; 4988;FALSE;203; 6; 1560;FALSE;TRUE;+Q -GP; 1560; 1560
203.13EDN; 4195;FALSE;203;13; 1765;FALSE;FALSE;-Q -GP; 1765; 1765
203.12EDY; 3174;FALSE;203;12; 1500;TRUE;FALSE;-Q +GP; 1500; 1500
203.8EDN; 3287;FALSE;203; 8; 2879;FALSE;FALSE;-Q -GP; 2368; 2879
203.11EDN; 4195;FALSE;203;11; 1765;FALSE;FALSE;-Q -GP; 1765; 1765
203.15EDY; 3401;FALSE;203;15; 1691;TRUE;FALSE;-Q +GP; 1691; 1691
203.4EQN; 6235;FALSE;203; 4; 1590;FALSE;TRUE;+Q -GP; 1590; 1590
205.4EQY;18707;FALSE;205; 4;14351;TRUE;TRUE;+Q +GP;12325;14351
205.16EQY; 5328;FALSE;205;16; 6738;TRUE;TRUE;+Q +GP; 6738; 6738
205.12EDN; 5328;FALSE;205;12; 8058;FALSE;FALSE;-Q -GP; 8058; 8058
205.8EDY; 5555;FALSE;205; 8;11884;TRUE;FALSE;-Q +GP;11884;11884
205.1EDN; 9183;FALSE;205; 1; 5581;FALSE;FALSE;-Q -GP; 6243; 5581
205.15EDN; 4535;FALSE;205;15; 1445;FALSE;FALSE;-Q -GP; 6243; 1445
205.11EDY; 4648;FALSE;205;11; 7738;TRUE;FALSE;-Q +GP; 7738; 7738
205.10EQN; 4988;FALSE;205;10; 6218;FALSE;TRUE;+Q -GP; 6243; 6218
205.6EQY;15079;FALSE;205; 6;11574;TRUE;TRUE;+Q +GP;11574;11574
205.14EQY; 5215;FALSE;205;14;11064;TRUE;TRUE;+Q +GP;11064;11064
205.2EQN;11678;FALSE;205; 2; 7835;FALSE;TRUE;+Q -GP; 7835; 7835
205.9EDN; 5102;FALSE;205; 9; 9212;FALSE;FALSE;-Q -GP; 9212; 9212
205.3EQN;11111;FALSE;205; 3; 7728;FALSE;TRUE;+Q -GP; 7728; 7728
205.5EQN; 9750;FALSE;205; 5; 6938;FALSE;TRUE;+Q -GP; 6938; 6938
205.13EDY; 5442;FALSE;205;13; 9372;TRUE;FALSE;-Q +GP; 9372; 9372
20.14EDY;12698;FALSE; 20;14; 8428;TRUE;FALSE;-Q +GP; 8428; 8428
20.4EDY; 5442;FALSE; 20; 4;10121;TRUE;FALSE;-Q +GP;10121;10121
20.10EDN;16666;FALSE; 20;10;12764;FALSE;FALSE;-Q -GP;11470;12764
20.13EQY;13492;FALSE; 20;13; 8258;TRUE;TRUE;+Q +GP; 8258; 8258
20.1EQN; 5895;FALSE; 20; 1;11444;FALSE;TRUE;+Q -GP;11444;11444
20.8EQY;13832;FALSE; 20; 8; 9545;TRUE;TRUE;+Q +GP; 9545; 9545
20.9EQN;15532;FALSE; 20; 9;11944;FALSE;TRUE;+Q -GP;11470;11944
20.2EDN; 5328;FALSE; 20; 2;10278;FALSE;FALSE;-Q -GP;10278;10278
20.16EDY;13718;FALSE; 20;16;  301;TRUE;FALSE;-Q +GP; 7081;  301
20.12EQN;23242;FALSE; 20;12;14720;FALSE;TRUE;+Q -GP;11470;14720
20.6EDY; 4761;FALSE; 20; 6; 9531;TRUE;FALSE;-Q +GP; 9531; 9531
20.11EQY;15306;FALSE; 20;11;12117;TRUE;TRUE;+Q +GP;11470;12117
20.15EQN;17120;FALSE; 20;15;12497;FALSE;TRUE;+Q -GP;11470;12497
20.5EDN; 3854;FALSE; 20; 5; 8444;FALSE;FALSE;-Q -GP; 8444; 8444
20.3EDN; 5215;FALSE; 20; 3; 9895;FALSE;FALSE;-Q -GP; 9895; 9895
20.7EQY; 4761;FALSE; 20; 7;10460;TRUE;TRUE;+Q +GP;10460;10460
7.10EQY; 7709;FALSE;  7;10; 1835;TRUE;TRUE;+Q +GP;    0; 1835
7.6EQN; 8843;FALSE;  7; 6; 1355;FALSE;TRUE;+Q -GP;    0; 1355
7.3EQY;10430;FALSE;  7; 3; 6900;TRUE;TRUE;+Q +GP;    0; 6900
16.9EQN;12358;FALSE; 16; 9;10344;FALSE;TRUE;+Q -GP;10344;10344
16.14EDY; 5215;FALSE; 16;14; 7230;TRUE;FALSE;-Q +GP; 7230; 7230
16.6EDY; 4988;FALSE; 16; 6; 9518;TRUE;FALSE;-Q +GP; 9518; 9518
16.5EDN; 5555;FALSE; 16; 5; 1385;FALSE;FALSE;-Q -GP; 1433; 1385
16.13EQY; 5328;FALSE; 16;13;14627;TRUE;TRUE;+Q +GP;12661;14627
16.7EQY; 6235;FALSE; 16; 7;13884;TRUE;TRUE;+Q +GP;12661;13884
16.3EDN; 5555;FALSE; 16; 3;11159;FALSE;FALSE;-Q -GP;11159;11159
16.12EQN; 6009;FALSE; 16;12; 9009;FALSE;TRUE;+Q -GP; 9009; 9009
16.16EDY; 4761;FALSE; 16;16;12440;TRUE;FALSE;-Q +GP;12440;12440
16.4EDY; 6235;FALSE; 16; 4; 2515;TRUE;FALSE;-Q +GP; 2515; 2515
16.8EQY;23922;FALSE; 16; 8; 2685;TRUE;TRUE;+Q +GP; 2685; 2685
16.1EQN; 6122;FALSE; 16; 1;12149;FALSE;TRUE;+Q -GP;12149;12149
6.3EDY; 6575;FALSE;  6; 3;  725;TRUE;FALSE;-Q +GP; 1053;  725
6.14EDN;13718;FALSE;  6;14;10989;FALSE;FALSE;-Q -GP;10989;10989
6.5EDY; 6122;FALSE;  6; 5;11911;TRUE;FALSE;-Q +GP;11911;11911
6.4EDN; 5668;FALSE;  6; 4;13917;FALSE;FALSE;-Q -GP;13818;13917
6.15EQY;14852;FALSE;  6;15;10334;TRUE;TRUE;+Q +GP;10334;10334
6.11EQN;17800;FALSE;  6;11;14494;FALSE;TRUE;+Q -GP;13818;14494
6.12EQY;18934;FALSE;  6;12;15251;TRUE;TRUE;+Q +GP;13818;15251
6.16EDN;19047;FALSE;  6;16;14677;FALSE;FALSE;-Q -GP;13818;14677
6.8EQN;14625;FALSE;  6; 8;10088;FALSE;TRUE;+Q -GP;10088;10088
6.1EQY; 6122;FALSE;  6; 1;13231;TRUE;TRUE;+Q +GP;13231;13231
17.4EQY; 9183;FALSE; 17; 4; 2250;TRUE;TRUE;+Q +GP; 2250; 2250
17.14EQY; 5328;FALSE; 17;14; 8100;TRUE;TRUE;+Q +GP; 2562; 8100
17.1EDN;12018;FALSE; 17; 1; 2458;FALSE;FALSE;-Q -GP; 2458; 2458
17.8EDY; 6916;FALSE; 17; 8;11536;TRUE;FALSE;-Q +GP; 2562;11536
17.16EQY; 5215;FALSE; 17;16;14364;TRUE;TRUE;+Q +GP; 2562;14364
17.12EDN; 6349;FALSE; 17;12; 1980;FALSE;FALSE;-Q -GP; 1980; 1980
17.2EQN; 8730;FALSE; 17; 2; 1876;FALSE;TRUE;+Q -GP; 1876; 1876
17.11EDY; 4648;FALSE; 17;11; 2250;TRUE;FALSE;-Q +GP; 2250; 2250
1.3EQN; 9523;FALSE;  1; 3; 3732;FALSE;TRUE;+Q -GP; 2749; 3732
1.7EDY; 6122;FALSE;  1; 7; 2085;TRUE;FALSE;-Q +GP; 2085; 2085
1.15EDN; 6689;FALSE;  1;15; 1658;FALSE;FALSE;-Q -GP; 1658; 1658
1.11EDY; 7256;FALSE;  1;11; 1838;TRUE;FALSE;-Q +GP; 1838; 1838
1.5EQN; 5782;FALSE;  1; 5; 2250;FALSE;TRUE;+Q -GP; 2250; 2250
1.6EQY; 7142;FALSE;  1; 6; 1620;TRUE;TRUE;+Q +GP; 1620; 1620
1.2EQN; 7256;FALSE;  1; 2; 1938;FALSE;TRUE;+Q -GP; 1938; 1938
1.12EDN; 7483;FALSE;  1;12; 1888;FALSE;FALSE;-Q -GP; 1888; 1888
1.16EQY; 5328;FALSE;  1;16; 1050;TRUE;TRUE;+Q +GP; 1547; 1050
