UID;ADDR-dr;SID-dr;ITEM-dr;BSID-dr;IID-dr;XY-dr;FIRST-dr;V-dr;OBJ-dr;PP1-dr;STRONG-dr;WEAK-dr;STRUG-dr;STRUG_START-dr;QI-dr;COMMENT-dr;ADDR-sp;SID-sp;ITEM-sp;BSID-sp;IID-sp;XY-sp;FIRST-sp;V-sp;OBJ-sp;PP1-sp;STRONG-sp;WEAK-sp;STRUG-sp;STRUG_START-sp;QI-sp;COMMENT-sp;X18;Participant;STRONG;OBJ;Condition_GP;V;WEAK;STRUG_START;two_level_prosody;IID;PP1;XY;Condition_Q;QI;SID;REC_CLEAN;REC;Reading;STRUG;prosody;FIRST;pair;condition;pdom;odom;simple2lvl;ID;Order;LIST;pattern-dr;pattern-sp;pattern
17-1-1;17.1Y; 17;1EQN;B5; 1;Y;16Y;YES;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;17.1Y; 17;1EQN;B5; 1;Y;1X;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE; 17;OBJ;YES;FALSE;NO;PP1;NONE;OBJ > PP1; 1;YES;X;FALSE;NO; 17;1EDN;17.1EDN_X;1;NO;OBJ > PP1;16Y;17-1;D -GP;FALSE;TRUE;BOTH;17-1;2;1;PP1 > OBJ;PP1 > OBJ;OBJ > PP1
17-1-2;17.1X; 17;1EQN;B5; 1;X;16Y;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;17.1X; 17;1EQN;B5; 1;X;1X;NO;YES;NO;OBJ;NONE;NO;NONE;NO;NONE;NONE; 17;PP1;YES;FALSE;NO;OBJ;NONE;PP1 > OBJ; 1;YES;Y;FALSE;NO; 17;1EDN;17.1EDN_Y;2;NO;PP1 > OBJ;16Y;17-1;D -GP;TRUE;FALSE;BOTH;17-1;2;1;PP1 > OBJ;OBJ;PP1 > OBJ
17-11-1;17.11Y; 17;11EQY;B5;11;Y;16Y;NO;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;17.11Y; 17;11EQY;B5;11;Y;1X;NO;NO;YES;PP1;NONE;NO;NONE;NO;NONE;NONE; 17;PP1;NO;TRUE;NO;NONE;NONE;PP1;11;YES;X;FALSE;NO; 17;11EDY;17.11EDY_X;1;NO;PP1;16Y;17-11;D +GP;TRUE;FALSE;PP1;17-11;2;1;OBJ > PP1;PP1;PP1
17-11-2;17.11X; 17;11EQY;B5;11;X;16Y;YES;YES;YES;PP1;V;NO;NONE;NO;NONE;17.11X; 17;11EQY;B5;11;X;1X;NO;YES;YES;NONE;NONE;NO;NONE;NO;NONE;NONE; 17;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ;11;YES;Y;FALSE;NO; 17;11EDY;17.11EDY_Y;2;NO;PP1 > OBJ;16Y;17-11;D +GP;TRUE;FALSE;BOTH;17-11;2;1;PP1 > OBJ;BOTH;PP1 > OBJ
17-13-1;17.13Y; 17;13EQY;B5;13;Y;16Y;YES;YES;YES;OBJ;V;NO;NONE;NO;NONE;17.13Y; 17;13EQY;B5;13;Y;1X;NO;YES;YES;OBJ;PP1;NO;NONE;YES;NONE;NONE; 17;OBJ;YES;TRUE;NO;PP1;NONE;OBJ > PP1;13;YES;X;FALSE;NO; 17;13EDY;17.13EDY_X;1;NO;OBJ > PP1;16Y;17-13;D +GP;FALSE;TRUE;BOTH;17-13;2;1;OBJ > PP1;OBJ > PP1;OBJ > PP1
17-13-2;17.13X; 17;13EQY;B5;13;X;16Y;NO;YES;YES;PP1;V;NO;NONE;NO;NONE;17.13X; 17;13EQY;B5;13;X;1X;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE; 17;PP1;YES;TRUE;YES;V;NONE;PP1 > OBJ;13;YES;Y;FALSE;NO; 17;13EDY;17.13EDY_Y;2;NO;PP1 > V OBJ;16Y;17-13;D +GP;TRUE;FALSE;BOTH;17-13;2;1;PP1 > OBJ;PP1 > OBJ;PP1 > OBJ
17-15-1;17.15Y; 17;15EQN;B5;15;Y;16Y;YES;YES;YES;PP1;V;YES;PP2;NO;NONE;17.15Y; 17;15EQN;B5;15;Y;1X;NO;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;NONE; 17;OBJ;YES;FALSE;NO;NONE;NONE;OBJ;15;NO;X;FALSE;NO; 17;15EDN;17.15EDN_X;1;NO;OBJ;16Y;17-15;D -GP;FALSE;TRUE;OBJ;17-15;2;1;PP1 > OBJ;OBJ > PP1;OBJ
17-15-2;17.15X; 17;15EQN;B5;15;X;16Y;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;17.15X; 17;15EQN;B5;15;X;1X;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE; 17;PP1;YES;FALSE;NO;OBJ;NONE;PP1 > OBJ;15;YES;Y;FALSE;NO; 17;15EDN;17.15EDN_Y;2;NO;PP1 > OBJ;16Y;17-15;D -GP;TRUE;FALSE;BOTH;17-15;2;1;PP1 > OBJ;PP1 > OBJ;PP1 > OBJ
17-3-1;17.3Y; 17;3EDN;B5; 3;Y;16Y;NO;YES;YES;OBJ;PP1;YES;V;YES;NONE;17.3Y; 17;3EDN;B5; 3;Y;1X;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;NONE; 17;OBJ;YES;FALSE;NO;NONE;NONE;OBJ; 3;NO;X;TRUE;NO; 17;3EQN;17.3EQN_X;1;NO;OBJ;16Y;17-3;Q -GP;FALSE;TRUE;OBJ;17-3;2;1;OBJ > PP1;PP1 > OBJ;OBJ
17-3-2;17.3X; 17;3EDN;B5; 3;X;16Y;YES;YES;YES;OBJ;PP1;YES;OBJ;YES;NONE;17.3X; 17;3EDN;B5; 3;X;1X;NO;NO;YES;PP1;NONE;NO;NONE;YES;NONE;NONE; 17;OBJ;YES;FALSE;NO;NONE;NONE;OBJ; 3;NO;Y;TRUE;YES; 17;3EQN;17.3EQN_Y;2;NO;OBJ;16Y;17-3;Q -GP;FALSE;TRUE;OBJ;17-3;2;1;OBJ > PP1;PP1;OBJ
