simple2lvl,Participant,r1DelCat,increase
BOTH,1,FAST,FALSE
OBJ,1,FAST,FALSE
PP1,1,FAST,FALSE
BOTH,2,FAST,FALSE
OBJ,2,FAST,FALSE
PP1,2,FAST,TRUE
BOTH,3,FAST,FALSE
OBJ,3,FAST,FALSE
PP1,3,FAST,FALSE
BOTH,4,FAST,FALSE
OBJ,4,FAST,FALSE
PP1,4,FAST,FALSE
BOTH,5,FAST,FALSE
OBJ,5,FAST,FALSE
PP1,5,FAST,FALSE
BOTH,6,FAST,FALSE
OBJ,6,FAST,FALSE
PP1,6,FAST,FALSE
BOTH,7,FAST,FALSE
OBJ,7,FAST,FALSE
PP1,7,FAST,FALSE
BOTH,9,FAST,FALSE
OBJ,9,FAST,FALSE
PP1,9,FAST,FALSE
BOTH,10,FAST,FALSE
OBJ,10,FAST,FALSE
PP1,10,FAST,FALSE
BOTH,11,FAST,FALSE
OBJ,11,FAST,FALSE
PP1,11,FAST,FALSE
BOTH,12,FAST,FALSE
OBJ,12,FAST,TRUE
PP1,12,FAST,TRUE
BOTH,13,FAST,FALSE
OBJ,13,FAST,FALSE
PP1,13,FAST,FALSE
BOTH,14,FAST,FALSE
OBJ,14,FAST,FALSE
PP1,14,FAST,FALSE
BOTH,15,FAST,FALSE
OBJ,15,FAST,TRUE
PP1,15,FAST,FALSE
BOTH,16,FAST,FALSE
OBJ,16,FAST,TRUE
PP1,16,FAST,TRUE
BOTH,17,FAST,FALSE
OBJ,17,FAST,FALSE
PP1,17,FAST,FALSE
BOTH,19,FAST,TRUE
OBJ,19,FAST,TRUE
PP1,19,FAST,FALSE
BOTH,20,FAST,FALSE
OBJ,20,FAST,TRUE
PP1,20,FAST,TRUE
BOTH,21,FAST,FALSE
OBJ,21,FAST,FALSE
PP1,21,FAST,FALSE
BOTH,22,FAST,FALSE
OBJ,22,FAST,FALSE
PP1,22,FAST,FALSE
BOTH,201,FAST,FALSE
OBJ,201,FAST,FALSE
PP1,201,FAST,TRUE
BOTH,203,FAST,FALSE
OBJ,203,FAST,TRUE
PP1,203,FAST,FALSE
BOTH,204,FAST,TRUE
OBJ,204,FAST,TRUE
PP1,204,FAST,FALSE
BOTH,205,FAST,TRUE
OBJ,205,FAST,FALSE
PP1,205,FAST,FALSE
BOTH,206,FAST,FALSE
OBJ,206,FAST,FALSE
PP1,206,FAST,FALSE
BOTH,207,FAST,FALSE
OBJ,207,FAST,FALSE
PP1,207,FAST,TRUE
BOTH,208,FAST,FALSE
OBJ,208,FAST,FALSE
PP1,208,FAST,FALSE
BOTH,209,FAST,FALSE
OBJ,209,FAST,FALSE
PP1,209,FAST,FALSE
BOTH,210,FAST,FALSE
OBJ,210,FAST,FALSE
PP1,210,FAST,TRUE
BOTH,212,FAST,FALSE
OBJ,212,FAST,FALSE
PP1,212,FAST,FALSE
BOTH,214,FAST,FALSE
OBJ,214,FAST,FALSE
PP1,214,FAST,FALSE
BOTH,215,FAST,FALSE
OBJ,215,FAST,FALSE
PP1,215,FAST,FALSE
BOTH,1,NORMAL,FALSE
OBJ,1,NORMAL,FALSE
PP1,1,NORMAL,FALSE
BOTH,2,NORMAL,FALSE
OBJ,2,NORMAL,FALSE
PP1,2,NORMAL,FALSE
BOTH,3,NORMAL,FALSE
OBJ,3,NORMAL,FALSE
PP1,3,NORMAL,FALSE
BOTH,4,NORMAL,FALSE
OBJ,4,NORMAL,FALSE
PP1,4,NORMAL,FALSE
BOTH,5,NORMAL,FALSE
OBJ,5,NORMAL,FALSE
PP1,5,NORMAL,TRUE
BOTH,6,NORMAL,FALSE
OBJ,6,NORMAL,FALSE
PP1,6,NORMAL,FALSE
BOTH,7,NORMAL,FALSE
OBJ,7,NORMAL,TRUE
PP1,7,NORMAL,FALSE
BOTH,9,NORMAL,FALSE
OBJ,9,NORMAL,FALSE
PP1,9,NORMAL,TRUE
BOTH,10,NORMAL,FALSE
OBJ,10,NORMAL,FALSE
PP1,10,NORMAL,FALSE
BOTH,11,NORMAL,FALSE
OBJ,11,NORMAL,FALSE
PP1,11,NORMAL,TRUE
BOTH,12,NORMAL,FALSE
OBJ,12,NORMAL,FALSE
PP1,12,NORMAL,FALSE
BOTH,13,NORMAL,FALSE
OBJ,13,NORMAL,FALSE
PP1,13,NORMAL,TRUE
BOTH,14,NORMAL,FALSE
OBJ,14,NORMAL,FALSE
PP1,14,NORMAL,FALSE
BOTH,15,NORMAL,FALSE
OBJ,15,NORMAL,FALSE
PP1,15,NORMAL,FALSE
BOTH,16,NORMAL,FALSE
