SIRT,IRT
4,3.80542
3,2.70556
2,3.38542
3,2.03231
4,2.07246
3,4.22542
4,2.08879
2,2.37867
3,1.81879
4,2.77879
4,3.85258
4,2.78894
3,3.69246
2,3.3219
4,5.00273
2,1.78529
3,1.79583
4,3.6219
2,2.73556
3,4.49623
3,2.1219
2,3.04217
3,2.20569
4,3.69638
13,11.13515
16,14.89177
7,6.08502
13,1.84569
8,8.03583
10,8.95217
13,11.28204
11,9.96515
10,7.28852
11,10.33879
11,9.89542
11,9.18515
8,6.75515
8,6.8919
12,10.28852
13,11.48852
14,13.64542
11,10.9419
12,10.53867
10,10.15217
9,7.69488
11,8.3619
12,10.4619
11,9.54515
5,4.36529
1,5.45231
2,7.6961
8,7.43583
5,4.12879
6,6.20231
3,3.40529
6,4.66879
6,6.40217
3,3.43217
5,4.69921
4,3.53975
6,6.03906
8,7.25583
6,5.40327
7,7.843
7,6.73921
5,3.39556
6,5.42312
4,4.07623
8,6.93948
10,9.72098
8,7.76623
6,5.12583
8,7.28542
9,8.27852
5,4.11162
11,11.54894
6,6.32542
5,3.8919
9,6.8019
2,0.24825
6,5.87502
3,3.2884
5,4.36569
4,4.54177
8,8.10204
7,6.46217
8,7.02246
9,8.55867
7.5,6.52177
2.5,2.13825
5.5,5.85867
3,0.77852
3,2.95529
4.5,4.72177
3.5,2.89177
6,4.89556
6,6.96515
5.5,5.50529
3.5,3.69825
5,4.8484
6.5,3.20894
4,3.63162
7.5,7.96529
5.5,5.41177
5,4.9084
7,8.24542
8,7.68556
8,7.55852
6.5,2.11529
5,5.03502
9.5,8.96852
6,5.3319
7.5,6.37879
5,4.9984
7.5,6.20852
6,6.03867
6,5.8984
5.5,5.49515
5.5,5.86217
4,3.71502
